,loss,bound_loss,residual_loss,u_loss,v_loss
96,1.8735635,1.3243597,0.5492039,1.3237165,0.0006432637
97,1.8672142,1.3173256,0.54988855,1.3166714,0.0006542584
98,1.8615671,1.3150032,0.546564,1.3143327,0.00067033997
99,1.8555572,1.3107822,0.544775,1.3100654,0.0007168328
100,1.8508015,1.3073763,0.5434251,1.3066052,0.00077105546
101,1.8459285,1.3053486,0.5405801,1.3045516,0.0007970373
102,1.8376042,1.2992923,0.5383117,1.2985151,0.0007772009
103,1.8324476,1.2971861,0.53526145,1.2964401,0.00074598426
104,1.8284762,1.2948136,0.53366244,1.2940407,0.0007730184
105,1.8249931,1.2929767,0.5320164,1.2921755,0.0008012088
106,1.8186477,1.2895749,0.529073,1.2887883,0.00078653253
107,1.810195,1.2843109,0.52588403,1.2835052,0.00080559996
108,1.8064663,1.2835672,0.52289903,1.2826765,0.00089085085
109,1.8020531,1.281406,0.52064705,1.2804905,0.00091550004
110,1.796479,1.279784,0.516695,1.2788801,0.0009038455
111,1.7881619,1.2739754,0.5141865,1.2731464,0.00082878664
112,1.7879832,1.2749319,0.51305115,1.2740839,0.0008480301
113,1.7833011,1.2722075,0.5110939,1.2712824,0.0009250791
114,1.7743794,1.2689997,0.5053797,1.268034,0.00096562924
115,1.7651012,1.2633299,0.50177145,1.2624222,0.0009078548
116,1.7628822,1.2623012,0.50058097,1.2613878,0.000913453
117,1.7587923,1.2606852,0.49810737,1.2596918,0.0009932267
118,1.7515805,1.258271,0.4933094,1.257225,0.0010459902
119,1.7431301,1.2524127,0.4907175,1.2513751,0.0010376143
120,1.7391294,1.250801,0.48832837,1.2497475,0.0010536195
121,1.7324913,1.2484603,0.48403102,1.2473943,0.0010658249
122,1.7252403,1.2446125,0.480628,1.2435589,0.0010534788
123,1.7219824,1.2419691,0.48001328,1.2408972,0.0010720387
124,1.7174059,1.2407837,0.47662225,1.2396752,0.0011085451
125,1.7081845,1.2362684,0.4719161,1.2351649,0.0011033972
126,1.7029247,1.2330383,0.4698864,1.2319533,0.0010850936
127,1.7002262,1.2321212,0.4681049,1.2310153,0.0011059719
128,1.6938518,1.2293208,0.46453112,1.2281872,0.001133665
129,1.6861508,1.2246952,0.46145543,1.2235677,0.001127564
130,1.6824646,1.2233816,0.4590829,1.2222667,0.0011150046
131,1.6777868,1.2211014,0.45668563,1.21998,0.0011212693
132,1.6722091,1.2182693,0.45393986,1.2171285,0.0011408722
133,1.6662018,1.2147068,0.45149508,1.2135582,0.0011485976
134,1.6618602,1.2132577,0.4486026,1.212115,0.0011426933
135,1.6562617,1.2100446,0.44621712,1.2089052,0.0011393002
136,1.6518177,1.2076471,0.44417062,1.2064997,0.0011475558
137,1.6470505,1.2049301,0.44212025,1.2037673,0.0011626886
138,1.6427641,1.2030163,0.4397478,1.2018402,0.0011761832
139,1.6370013,1.1994103,0.4375909,1.1982313,0.0011791561
140,1.6322292,1.1968338,0.43539524,1.1956613,0.0011726061
141,1.6269865,1.1936724,0.43331417,1.1925075,0.0011649152
142,1.6226406,1.1913308,0.4313097,1.1901677,0.0011632725
143,1.6182181,1.1885371,0.42968097,1.187368,0.0011691004
144,1.6144676,1.1862192,0.4282484,1.185042,0.0011772636
145,1.610424,1.1836652,0.42675906,1.1824801,0.0011852249
146,1.6064718,1.1814917,0.42498022,1.1802955,0.0011963123
147,1.6022484,1.1789019,0.42334658,1.1776942,0.0012076556
148,1.5977247,1.1758981,0.42182675,1.1746838,0.001214114
149,1.5928967,1.1728153,0.42008138,1.1716034,0.0012118848
150,1.5872514,1.1693017,0.41794983,1.1681068,0.0011948321
151,1.5817792,1.1657351,0.41604406,1.1645658,0.0011693179
152,1.576947,1.1623404,0.41460666,1.161186,0.001154362
153,1.5727725,1.1594412,0.41333118,1.1582911,0.001150275
154,1.5688081,1.1567203,0.41208783,1.1555737,0.0011466001
155,1.5651256,1.1542051,0.41092032,1.1530608,0.0011444004
156,1.5615109,1.151794,0.409717,1.1506506,0.0011433617
157,1.5581782,1.1496255,0.40855274,1.1484902,0.0011352524
158,1.5554225,1.1477567,0.4076659,1.1466342,0.0011224389
159,1.5530717,1.1461744,0.4068975,1.1450583,0.0011161799
160,1.5511236,1.1448203,0.40630332,1.1436948,0.001125534
161,1.5496464,1.1433077,0.40633863,1.1421511,0.0011565018
162,1.5495666,1.1423092,0.4072575,1.1410863,0.0012229411
163,1.552308,1.143157,0.40915102,1.1417699,0.001387099
164,1.5480499,1.1404372,0.40761274,1.138866,0.001571202
165,1.5246173,1.1239872,0.4006301,1.1226308,0.0013562983
166,1.528054,1.122767,0.40528703,1.1214209,0.0013460325
167,1.5335356,1.1231713,0.41036433,1.1220819,0.0010894632
168,1.5266997,1.1265317,0.400168,1.1253314,0.001200217
169,1.5169551,1.1082402,0.40871492,1.1070449,0.0011951763
170,1.517601,1.1165768,0.40102443,1.1154652,0.0011115068
171,1.5049075,1.1106004,0.39430714,1.1093946,0.0012057967
172,1.5057284,1.0987563,0.4069721,1.097624,0.0011323965
173,1.5106871,1.1146282,0.39605886,1.1134964,0.0011318028
174,1.4969666,1.1023834,0.39458317,1.101199,0.0011843819
175,1.4948096,1.0919634,0.40284625,1.0909452,0.0010181263
176,1.4973121,1.105474,0.391838,1.104398,0.0010759275
177,1.4843187,1.0888804,0.39543825,1.0877445,0.0011359558
178,1.4859582,1.0889504,0.39700788,1.0879409,0.0010096105
179,1.4873848,1.096535,0.3908499,1.0954839,0.0010510727
180,1.4777406,1.0833933,0.39434743,1.082307,0.0010862899
181,1.4767787,1.0831385,0.39364028,1.0821202,0.0010182249
182,1.4758155,1.0859286,0.38988698,1.0848892,0.0010394943
183,1.4694897,1.077913,0.39157656,1.0768412,0.001071838
184,1.4671504,1.0757663,0.39138427,1.0747236,0.0010426287
185,1.4674118,1.0783693,0.3890425,1.0773351,0.0010340516
186,1.462246,1.0726416,0.3896044,1.0715837,0.0010577857
187,1.4576467,1.0683008,0.3893459,1.0672504,0.0010504648
188,1.457772,1.0702417,0.38753027,1.0692132,0.0010284977
189,1.4534832,1.0658084,0.3876748,1.0647656,0.0010427866
190,1.4483846,1.0610374,0.38734728,1.0599847,0.0010527007
191,1.4485145,1.0625192,0.38599545,1.0614812,0.0010379128
192,1.4442444,1.0583433,0.38590112,1.0573051,0.001038309
193,1.4397123,1.0540816,0.38563097,1.0530329,0.0010487393
194,1.4393584,1.055176,0.38418242,1.0541297,0.001046181
195,1.4340234,1.0499022,0.38412112,1.048856,0.0010461867
196,1.4310299,1.0469589,0.38407096,1.0459116,0.0010473547
197,1.430196,1.047446,0.38275,1.0463995,0.0010463877
198,1.4244354,1.0417511,0.3826843,1.0406969,0.001054471
199,1.4222383,1.0397618,0.38247675,1.038707,0.0010546967
200,1.4205933,1.038933,0.38166004,1.0378846,0.0010486204
201,1.4155905,1.0338777,0.38171268,1.0328219,0.0010559078
202,1.413606,1.0323673,0.38123864,1.0313095,0.0010577786
203,1.4111532,1.0302923,0.38086104,1.0292358,0.0010563282
204,1.4070842,1.0260905,0.3809937,1.025028,0.0010626112
205,1.4047365,1.0245029,0.38023368,1.0234382,0.0010645522
206,1.4010912,1.0221913,0.37889987,1.0211208,0.0010703495
207,1.3955444,1.0181297,0.37741458,1.0170505,0.0010792408
208,1.3918636,1.016319,0.37554467,1.0152371,0.0010818441
209,1.3871161,1.0126607,0.3744553,1.0115784,0.0010822809
210,1.3823118,1.0081438,0.3741681,1.0070689,0.0010749104
211,1.3797117,1.0062712,0.37344056,1.0052072,0.0010641273
212,1.3747671,1.00135,0.37341696,1.0002866,0.0010634887
213,1.371537,0.99854785,0.372989,0.99747896,0.0010689357
214,1.3684264,0.9963007,0.37212563,0.99521816,0.0010825789
215,1.3639311,0.9921405,0.3717907,0.9910396,0.0011008752
216,1.3615191,0.9904934,0.37102556,0.98938465,0.0011087006
217,1.3576095,0.98693144,0.3706781,0.9858239,0.001107504
218,1.353887,0.98342496,0.370462,0.98233396,0.0010910393
219,1.3505061,0.9804389,0.37006724,0.97936743,0.0010714828
220,1.3461066,0.97607136,0.37003517,0.9750093,0.0010620843
221,1.3424855,0.9726421,0.36984333,0.97157985,0.0010622898
222,1.3391826,0.969508,0.36967474,0.96843547,0.001072449
223,1.3358686,0.96645546,0.36941305,0.96536857,0.0010868397
224,1.333303,0.96423894,0.36906415,0.96313965,0.001099208
225,1.3305182,0.9617456,0.36877266,0.96064246,0.0011033353
226,1.3275542,0.9589577,0.3685966,0.95786273,0.0010949321
227,1.3246242,0.9561815,0.3684427,0.95510423,0.0010772797
228,1.321338,0.9528986,0.36843938,0.95183545,0.0010631678
229,1.3183253,0.94978124,0.36854392,0.9487225,0.0010587439
230,1.3155075,0.9468702,0.36863738,0.9458046,0.0010655354
231,1.312958,0.94431746,0.3686406,0.9432398,0.0010777322
232,1.3104765,0.9419934,0.36848322,0.9409035,0.0010898989
233,1.3081394,0.9398554,0.36828405,0.9387595,0.0010958405
234,1.3056006,0.93748075,0.3681199,0.9363884,0.0010923147
235,1.3030926,0.93508255,0.36800995,0.9340042,0.0010783309
