,loss,residual_loss,bound_loss,init_loss
0,0.26986527,0.08754036,0.05426539,0.12805952
1,0.14571288,0.014790549,0.036262687,0.09465965
2,0.12254,0.006333674,0.027404062,0.08880225
3,0.113610774,0.0042014015,0.020146564,0.08926281
4,0.10794309,0.0037817594,0.022336183,0.081825145
5,0.102301925,0.000772754,0.022991182,0.07853799
6,0.097141795,0.0006115962,0.01987604,0.07665416
7,0.09182977,0.0010404137,0.016454028,0.07433533
8,0.08436364,0.0015516222,0.015168381,0.067643635
9,0.07604606,0.0030796947,0.012811132,0.060155228
10,0.06752639,0.006037449,0.011921008,0.049567938
11,0.058745474,0.008402858,0.01119559,0.039147023
12,0.053546224,0.008915361,0.012986175,0.03164469
13,0.051213816,0.00882427,0.013375908,0.029013643
14,0.049946677,0.01116117,0.011120374,0.027665136
15,0.049240764,0.01085212,0.010537592,0.027851053
16,0.048150253,0.010164273,0.010742876,0.027243108
17,0.04730438,0.010773397,0.01019396,0.02633702
18,0.046380583,0.0105877705,0.009737527,0.026055286
19,0.04528293,0.010186476,0.009230726,0.025865728
20,0.044072766,0.010079325,0.008965765,0.025027677
21,0.04319167,0.010095089,0.008642656,0.024453923
22,0.042347204,0.009834548,0.008258574,0.024254084
23,0.041601945,0.009693189,0.008011893,0.02389686
24,0.04088966,0.00951894,0.008020865,0.023349859
25,0.040247876,0.009382746,0.007888048,0.022977084
26,0.039601754,0.009349167,0.007684952,0.022567632
27,0.03898136,0.009335047,0.0075615006,0.022084812
28,0.03839535,0.009186849,0.00749909,0.02170941
29,0.037866313,0.009003051,0.0074536162,0.021409646
30,0.03731218,0.00893065,0.0072978646,0.021083668
31,0.036741707,0.008889198,0.0071011353,0.020751378
32,0.036176458,0.0088230055,0.0069158673,0.020437585
33,0.035610378,0.0086975545,0.0067383605,0.020174464
34,0.03504925,0.008611108,0.006573606,0.019864537
35,0.034480434,0.008499135,0.006448729,0.01953257
36,0.03390492,0.008372751,0.0063665253,0.01916564
37,0.033315267,0.0081509175,0.0062805084,0.018883843
38,0.03278544,0.00795954,0.0061677583,0.01865814
39,0.032324303,0.007936324,0.0060126777,0.018375302
40,0.03184976,0.007920128,0.0058418177,0.018087814
41,0.031450603,0.0077710655,0.0057480508,0.01793149
42,0.030990241,0.007602876,0.005647617,0.017739745
43,0.030571653,0.007507023,0.005584244,0.017480386
44,0.030327296,0.0074710543,0.005582066,0.017274173
45,0.030255646,0.007175311,0.0056333267,0.01744701
46,0.029698739,0.007200685,0.0055784043,0.01691965
47,0.029213265,0.0068262652,0.0054808115,0.016906185
48,0.028626421,0.006684577,0.0053516594,0.016590187
49,0.028070636,0.0064557176,0.0052014347,0.016413482
50,0.027563186,0.0061937366,0.0050833854,0.016286064
51,0.02717545,0.0060609593,0.0049860813,0.016128412
52,0.028624013,0.006243286,0.005502183,0.016878543
53,0.027404994,0.006021367,0.0052755643,0.016108064
54,0.026767341,0.006088404,0.004925095,0.015753841
55,0.02619999,0.005641006,0.0048158,0.015743187
56,0.02591335,0.005577771,0.0047419243,0.015593656
57,0.02549652,0.0055125686,0.004640123,0.01534383
58,0.025129572,0.0054269596,0.0045486144,0.015153998
59,0.024716713,0.0051957,0.004477265,0.015043747
60,0.024430336,0.0051499084,0.0044175815,0.014862847
61,0.024086839,0.0050190757,0.00435364,0.014714121
62,0.024419926,0.0051016654,0.0045111515,0.014807106
63,0.023558771,0.004956772,0.004263476,0.014338523
64,0.023247859,0.0047219447,0.0042196824,0.014306232
65,0.023740659,0.0050239433,0.00433041,0.014386307
66,0.023263058,0.004882956,0.0043831673,0.013996935
67,0.022711543,0.0047050123,0.0040720706,0.01393446
68,0.022653304,0.004815079,0.004114163,0.013724063
69,0.021958621,0.004439988,0.0039301617,0.013588472
70,0.022109626,0.0045967307,0.0039487,0.013564193
71,0.021888524,0.004507989,0.003969828,0.013410706
72,0.021142727,0.004259446,0.003737918,0.013145362
73,0.022777393,0.00516932,0.0040462045,0.01356187
74,0.022011215,0.004692224,0.004037272,0.013281721
75,0.021532854,0.0044112895,0.003893965,0.013227601
76,0.020851249,0.004376245,0.0036833633,0.01279164
77,0.021065013,0.004378797,0.0038152442,0.012870974
78,0.020603001,0.004272085,0.0036872488,0.012643666
79,0.021205442,0.0046614693,0.003806295,0.01273768
80,0.020334003,0.0041827746,0.0036036836,0.012547545
81,0.020743582,0.0045203674,0.0037002277,0.012522988
82,0.020634236,0.004362619,0.0037345497,0.012537069
83,0.020468662,0.0045087873,0.0036396503,0.012320223
84,0.020767706,0.004425,0.0037838968,0.0125588095
85,0.020217942,0.0043388703,0.003713296,0.012165777
86,0.019705283,0.0040421165,0.0035297053,0.0121334605
87,0.020072827,0.004374185,0.0035456289,0.012153012
88,0.01951463,0.003992284,0.0035142044,0.012008141
89,0.019153407,0.0038590461,0.0033885234,0.011905839
90,0.021997862,0.0058351867,0.0038291786,0.012333495
91,0.020629076,0.004447865,0.0037187925,0.012462419
92,0.019177893,0.0039026958,0.0033822525,0.011892947
93,0.018697122,0.0036001622,0.0033628752,0.011734086
94,0.018443001,0.003736008,0.0032475826,0.011459411
95,0.018886464,0.004052414,0.0033276808,0.0115063675
96,0.018281361,0.0036342933,0.0032311205,0.011415946
97,0.019495526,0.0046132696,0.0033484995,0.011533757
98,0.019409956,0.0043773917,0.003402437,0.011630128
99,0.018869057,0.003999891,0.0033248684,0.011544297
100,0.018493684,0.003810229,0.0032653545,0.0114180995
101,0.018783243,0.0040060556,0.0033505296,0.01142666
102,0.018577697,0.0041158632,0.0032406654,0.011221168
103,0.018703738,0.0040068724,0.0033126592,0.011384208
104,0.017980644,0.0036718787,0.003210988,0.011097778
105,0.017980866,0.003715246,0.003159589,0.011106032
106,0.019427283,0.004641507,0.003398451,0.011387325
107,0.019137679,0.0045764544,0.003361673,0.01119955
108,0.018188035,0.0037374906,0.0032889105,0.011161634
109,0.017744752,0.0034809709,0.003200194,0.011063587
110,0.018037133,0.0038911449,0.0031562168,0.01098977
111,0.017461635,0.0035808526,0.003081437,0.010799347
112,0.018000208,0.0039776075,0.0031312918,0.010891308
113,0.017617298,0.0037398625,0.0030724294,0.010805004
114,0.018063053,0.0039986027,0.003127642,0.010936809
115,0.017674515,0.0038711093,0.0030439992,0.010759407
116,0.01788872,0.0039619664,0.0030955551,0.010831199
117,0.017845606,0.004090266,0.0030977672,0.010657574
118,0.01783306,0.0039382936,0.003032973,0.010861793
119,0.017607912,0.003953296,0.0030823909,0.010572224
120,0.016866935,0.0032990382,0.002961538,0.01060636
121,0.016871149,0.0035105345,0.0029419893,0.010418624
122,0.01680777,0.0033236893,0.0029682014,0.010515877
123,0.017303618,0.003948264,0.0029735395,0.010381815
124,0.017026337,0.0036466026,0.002959112,0.010420624
125,0.017102035,0.003577387,0.0030042492,0.010520398
126,0.016701559,0.003534577,0.002921168,0.010245813
127,0.01719351,0.0038004564,0.0029945953,0.01039846
128,0.016617803,0.003525858,0.0028927468,0.010199198
129,0.016681114,0.003563103,0.0028852185,0.010232791
130,0.016378863,0.0033610577,0.002878491,0.010139315
131,0.016385661,0.0034553313,0.0028579275,0.0100724
132,0.017399361,0.0042173048,0.0029728038,0.010209253
133,0.017430978,0.0038453613,0.003152118,0.010433498
134,0.017692922,0.0041463673,0.0032041336,0.01034242
135,0.01725127,0.0036190178,0.0031234806,0.010508772
136,0.016089706,0.0031111191,0.0028505542,0.010128032
137,0.01613426,0.00337705,0.0028223528,0.009934858
138,0.015865529,0.0031874652,0.0027948355,0.009883228
139,0.01555587,0.0030368038,0.002776283,0.009742782
140,0.015961343,0.0034407054,0.0027520424,0.009768595
141,0.019012054,0.0053666173,0.0031450733,0.010500364
