,loss,bound_loss,init_loss
0,0.32629895,0.11711592,0.20918302
1,0.18508363,0.075049154,0.110034466
2,0.12842631,0.052385796,0.07604053
3,0.12914082,0.04926619,0.07987464
4,0.11987104,0.04653139,0.07333965
5,0.11651521,0.04729334,0.06922187
6,0.11470529,0.04696679,0.06773849
7,0.11328445,0.044672433,0.06861201
8,0.11305729,0.044764843,0.068292454
9,0.11221444,0.04509327,0.067121156
10,0.11192411,0.045021664,0.06690244
11,0.111495696,0.04484677,0.06664892
12,0.11114404,0.044476967,0.06666708
13,0.1107527,0.044485703,0.066267
14,0.11038347,0.044516202,0.065867275
15,0.10997617,0.0443753,0.06560087
16,0.10955048,0.04418874,0.065361746
17,0.10908321,0.044160377,0.06492284
18,0.108586736,0.04405111,0.064535625
19,0.108044386,0.043910656,0.06413374
20,0.10744467,0.04376561,0.06367906
21,0.10678827,0.043634262,0.063154005
22,0.10605779,0.043475166,0.06258263
23,0.10524274,0.043284338,0.0619584
24,0.10432822,0.043095917,0.06123231
25,0.10329631,0.042872053,0.060424257
26,0.1021263,0.042615414,0.059510883
27,0.10079402,0.042329606,0.05846441
28,0.099273,0.042004038,0.057268973
29,0.09753429,0.04163121,0.05590308
30,0.09555173,0.041212827,0.054338902
31,0.09330606,0.040745236,0.05256082
32,0.09079533,0.040237445,0.050557885
33,0.088043116,0.039702684,0.048340436
34,0.085057236,0.039123792,0.04593344
35,0.08177958,0.038428467,0.043351114
36,0.07837752,0.037656065,0.04072146
37,0.07520775,0.037069704,0.03813805
38,0.07235988,0.03667332,0.035686564
39,0.06982544,0.03606068,0.03376476
40,0.06775942,0.035605844,0.03215357
41,0.06606071,0.035078738,0.030981967
42,0.06460539,0.03453848,0.03006691
43,0.06324049,0.033810627,0.029429862
44,0.06187664,0.032978814,0.028897824
45,0.06053256,0.03209644,0.028436115
46,0.059179742,0.031157611,0.028022131
47,0.057805743,0.03020346,0.027602285
48,0.056378376,0.02922143,0.02715694
49,0.05491179,0.028235024,0.026676765
50,0.053398296,0.027238375,0.026159922
51,0.05181122,0.026221478,0.025589736
52,0.050150275,0.025187215,0.024963064
53,0.048403904,0.024130523,0.024273379
54,0.046571523,0.02305636,0.02351516
55,0.044636782,0.021972181,0.0226646
56,0.042570114,0.020890927,0.02167919
57,0.0404051,0.01983309,0.020572009
58,0.038243946,0.018784592,0.019459354
59,0.03613889,0.017756833,0.018382056
60,0.03413785,0.016877519,0.017260326
61,0.032292023,0.016071668,0.016220355
62,0.030738607,0.015438426,0.01530018
63,0.02940864,0.014899916,0.014508723
64,0.028345956,0.014459235,0.013886721
65,0.027505435,0.0140617965,0.013443639
66,0.026775176,0.013647474,0.013127703
67,0.02612462,0.013215754,0.012908866
68,0.025552986,0.012795295,0.012757693
69,0.025049014,0.012400616,0.012648399
70,0.024598623,0.012036674,0.012561951
71,0.024207989,0.011717334,0.012490656
72,0.02388539,0.01145476,0.012430631
73,0.023617072,0.011243767,0.012373306
74,0.023385605,0.011072378,0.012313227
75,0.023187311,0.010934877,0.012252435
76,0.023021067,0.010827187,0.01219388
77,0.022879435,0.010741877,0.0121375555
78,0.02275788,0.010673825,0.012084056
79,0.022655077,0.010620506,0.01203457
80,0.022566661,0.010578089,0.011988574
81,0.022487173,0.010542414,0.01194476
82,0.022413192,0.010510904,0.011902287
83,0.022342853,0.010482096,0.011860754
84,0.022275625,0.010455403,0.011820222
85,0.022211865,0.010430842,0.011781022
86,0.022151075,0.010408034,0.011743042
87,0.022092195,0.010386301,0.011705895
88,0.022034733,0.010365318,0.011669417
89,0.021978693,0.010345045,0.0116336495
90,0.021924084,0.010325441,0.011598644
91,0.021870794,0.0103064105,0.011564382
92,0.021818683,0.010287872,0.011530809
93,0.021767588,0.010269731,0.011497859
94,0.021717459,0.010251958,0.011465502
95,0.02166829,0.010234559,0.011433731
96,0.021620033,0.0102175195,0.011402513
97,0.021572648,0.0102008255,0.01137182
98,0.021526063,0.010184457,0.011341608
99,0.021480272,0.01016841,0.011311863
100,0.021435225,0.010152676,0.011282552
101,0.021390894,0.010137247,0.011253647
102,0.021347256,0.010122129,0.011225128
103,0.02130428,0.010107321,0.011196961
104,0.021261916,0.010092813,0.011169103
105,0.021220148,0.0100786155,0.011141532
106,0.021178946,0.010064736,0.01111421
107,0.021138288,0.010051191,0.011087098
108,0.021098157,0.010037984,0.011060175
109,0.021058582,0.010025163,0.011033419
110,0.02101957,0.0100127505,0.01100682
111,0.020981213,0.01000081,0.010980402
112,0.020943657,0.009989437,0.01095422
113,0.02090714,0.0099787535,0.010928385
114,0.020872002,0.009968943,0.01090306
115,0.020838818,0.009960277,0.010878541
116,0.020808386,0.009953157,0.010855229
117,0.02078188,0.0099481605,0.010833718
118,0.020760914,0.009946111,0.010814802
119,0.02074755,0.0099480795,0.010799471
120,0.020743825,0.009955219,0.010788606
121,0.02075001,0.009967915,0.010782094
122,0.02076058,0.009983789,0.010776793
123,0.020760536,0.009995594,0.0107649425
124,0.020733362,0.009994705,0.010738657
125,0.02067411,0.009977149,0.010696962
126,0.020561285,0.009929445,0.010631841
127,0.020379849,0.009842031,0.010537821
128,0.02021583,0.00976078,0.01045505
129,0.020136883,0.009724628,0.010412254
130,0.02011487,0.009720678,0.010394192
131,0.020107796,0.009726037,0.010381758
132,0.020088434,0.009724855,0.010363581
133,0.020048788,0.009712075,0.010336711
134,0.019999309,0.009693331,0.010305977
135,0.019953368,0.009676185,0.010277181
136,0.019915974,0.009663708,0.010252266
137,0.019884637,0.009654695,0.0102299405
138,0.019854391,0.0096463775,0.010208015
139,0.01982197,0.009636876,0.0101850955
140,0.019786974,0.009625951,0.0101610245
141,0.019750727,0.009614338,0.010136391
142,0.019714722,0.009602856,0.010111866
143,0.019679712,0.009591925,0.010087787
144,0.01964559,0.0095814895,0.010064099
145,0.019611834,0.0095712785,0.010040556
146,0.019577993,0.009561044,0.010016951
147,0.0195439,0.009550703,0.009993197
148,0.019509615,0.009540292,0.009969323
149,0.019475296,0.009529893,0.009945403
150,0.019441057,0.009519569,0.009921488
151,0.019406939,0.009509344,0.009897596
152,0.019372925,0.009499214,0.00987371
153,0.01933894,0.009489148,0.009849793
154,0.01930495,0.009479125,0.009825825
155,0.019270923,0.009469136,0.009801786
156,0.019236863,0.009459183,0.009777679
157,0.019202782,0.009449274,0.009753507
158,0.019168673,0.009439411,0.009729262
159,0.019134542,0.009429596,0.009704947
160,0.01910039,0.009419836,0.009680553
161,0.019066198,0.009410123,0.009656073
162,0.019031942,0.009400451,0.009631493
163,0.018997626,0.009390819,0.0096068075
164,0.018963246,0.00938123,0.009582016
165,0.018928787,0.00937168,0.009557105
166,0.018894246,0.009362171,0.009532073
167,0.01885962,0.009352706,0.009506914
168,0.018824885,0.009343269,0.009481615
169,0.018790046,0.009333874,0.0094561735
170,0.0187551,0.009324515,0.0094305845
171,0.018720021,0.009315188,0.009404836
172,0.018684812,0.009305891,0.009378922
173,0.018649459,0.009296623,0.009352837
174,0.018613951,0.009287383,0.00932657
175,0.018578278,0.009278164,0.009300114
176,0.01854244,0.009268976,0.009273465
177,0.018506428,0.009259811,0.009246617
178,0.018470211,0.0092506595,0.009219551
179,0.018433789,0.009241521,0.0091922665
180,0.01839716,0.009232403,0.009164757
181,0.018360304,0.009223294,0.009137011
182,0.018323211,0.009214189,0.00910902
183,0.018285863,0.009205089,0.009080774
184,0.01824827,0.009195999,0.00905227
185,0.018210396,0.009186902,0.009023494
186,0.018172229,0.009177796,0.008994433
187,0.018133758,0.009168676,0.008965082
188,0.018094987,0.00915955,0.008935437
189,0.018055892,0.009150409,0.0089054825
190,0.018016445,0.009141239,0.008875206
191,0.017976647,0.009132043,0.008844602
192,0.017936483,0.0091228215,0.008813661
193,0.017895933,0.009113563,0.008782371
194,0.017854998,0.009104269,0.0087507265
195,0.017813647,0.00909493,0.008718717
196,0.017771875,0.009085545,0.00868633
197,0.01772966,0.009076106,0.008653554
198,0.017686987,0.009066605,0.008620382
199,0.017643856,0.009057049,0.008586807
200,0.017600248,0.009047427,0.00855282
201,0.017556138,0.009037732,0.008518406
202,0.017511522,0.009027961,0.00848356
203,0.017466381,0.009018107,0.008448273
204,0.017420718,0.009008176,0.008412545
205,0.017374529,0.008998162,0.008376367
206,0.017327784,0.008988054,0.008339729
207,0.01728048,0.008977852,0.008302627
208,0.01723261,0.008967551,0.008265057
209,0.01718417,0.008957152,0.008227018
210,0.017135171,0.008946659,0.008188511
211,0.017085603,0.008936065,0.008149538
212,0.01703546,0.008925365,0.008110095
213,0.016984759,0.008914565,0.008070193
214,0.016933499,0.008903662,0.008029836
215,0.016881684,0.008892654,0.00798903
216,0.016829334,0.008881544,0.007947789
217,0.016776467,0.008870338,0.00790613
218,0.01672309,0.008859028,0.007864063
219,0.016669234,0.008847624,0.00782161
220,0.0166149,0.008836117,0.0077787866
221,0.016560128,0.008824512,0.007735616
222,0.016504932,0.008812812,0.007692121
223,0.016449312,0.008801005,0.0076483097
224,0.016393289,0.008789091,0.0076041985
225,0.016336853,0.008777057,0.007559795
226,0.016279994,0.008764898,0.0075150956
227,0.016222714,0.008752608,0.0074701053
228,0.016165027,0.008740195,0.007424833
229,0.016106965,0.0087276725,0.0073792916
230,0.01604858,0.008715071,0.007333509
231,0.01598997,0.008702431,0.007287539
232,0.015931249,0.008689796,0.0072414526
233,0.01587254,0.008677203,0.0071953363
234,0.015813937,0.008664672,0.0071492647
235,0.015755499,0.008652194,0.007103305
236,0.01569732,0.00863979,0.007057531
237,0.01563952,0.008627493,0.007012025
