,loss,bound_loss,residual_loss,u_loss,v_loss,p_loss
32972,0.00013439168,1.8987055e-05,0.000115404626,1.0051193e-05,1.9909673e-06,6.944893e-06
32973,0.00014807386,2.5886819e-05,0.00012218703,1.3421342e-05,2.0685359e-06,1.0396941e-05
32974,0.00019177407,3.7047408e-05,0.00015472664,1.5198695e-05,2.30252e-06,1.954619e-05
32975,0.00021891113,4.7357593e-05,0.00017155353,2.4916284e-05,2.2400939e-06,2.0201216e-05
32976,0.00031361994,5.3847507e-05,0.0002597724,2.4193932e-05,3.2389714e-06,2.6414598e-05
32977,0.00038462412,6.127783e-05,0.0003233463,4.022979e-05,3.3126253e-06,1.7735421e-05
32978,0.0005166628,5.1528343e-05,0.0004651344,2.965203e-05,4.3954465e-06,1.7480872e-05
32979,0.0005777449,6.82264e-05,0.00050951843,4.5338573e-05,4.347086e-06,1.8540735e-05
32980,0.0006077536,6.3382075e-05,0.0005443715,4.435442e-05,4.8970137e-06,1.413064e-05
32981,0.00047375174,6.039563e-05,0.00041335612,4.1782623e-05,4.505958e-06,1.4107051e-05
32982,0.0003717285,6.279624e-05,0.00030893224,4.8544032e-05,4.76087e-06,9.491346e-06
32983,0.00022686491,3.463032e-05,0.00019223461,2.5064854e-05,3.3912843e-06,6.174182e-06
32984,0.00015733263,2.6217236e-05,0.0001311154,1.713674e-05,3.1600387e-06,5.9204585e-06
32985,0.00018651743,3.634992e-05,0.0001501675,2.5770612e-05,3.2337011e-06,7.345609e-06
32986,0.00024384409,3.127924e-05,0.00021256488,1.9074105e-05,4.160157e-06,8.044977e-06
32987,0.00024913825,4.7424044e-05,0.0002017142,3.3954897e-05,3.6246158e-06,9.8445325e-06
32988,0.00025512226,3.7223446e-05,0.00021789879,1.9903187e-05,3.476251e-06,1.3844011e-05
32989,0.00019833594,3.983581e-05,0.00015850013,2.787094e-05,3.2496114e-06,8.715257e-06
32990,0.00020086541,2.9185696e-05,0.00017167974,1.5847281e-05,3.0350316e-06,1.03033835e-05
32991,0.00018401338,3.3166853e-05,0.00015084652,2.312255e-05,3.0826377e-06,6.9616653e-06
32992,0.00018293851,2.1789147e-05,0.00016114935,1.28738375e-05,3.3198885e-06,5.5954215e-06
32993,0.00015430058,2.4879288e-05,0.00012942129,1.6351543e-05,2.8162162e-06,5.7115262e-06
32994,0.00016464494,1.8725203e-05,0.00014591972,1.1112481e-05,2.9698779e-06,4.642844e-06
32995,0.00011777818,1.8469485e-05,9.9308694e-05,1.1356117e-05,2.43171e-06,4.6816594e-06
32996,0.000120457276,1.6347101e-05,0.00010411018,8.874714e-06,2.2875636e-06,5.1848237e-06
32997,8.9113935e-05,1.5562646e-05,7.3551295e-05,1.0019641e-05,2.0378313e-06,3.5051733e-06
32998,8.337552e-05,1.4188672e-05,6.918685e-05,7.80292e-06,1.9151707e-06,4.4705803e-06
32999,7.3963645e-05,1.3989906e-05,5.9973747e-05,9.0474405e-06,1.638434e-06,3.3040312e-06
33000,6.8992056e-05,1.3497405e-05,5.549465e-05,8.21227e-06,1.8758219e-06,3.4093136e-06
33001,6.954249e-05,1.3522255e-05,5.6020235e-05,8.72892e-06,1.4760474e-06,3.317288e-06
