,loss,residual_loss,bound_loss,init_loss
0,1.4769417,0.012263278,0.77629197,0.6883863
1,1.41563,0.012271477,0.7600213,0.6596079
2,1.3587874,0.011888961,0.7443796,0.63380206
3,1.3062534,0.011075204,0.7293902,0.61075616
4,1.2577119,0.009958645,0.7150581,0.5900233
5,1.2127814,0.008732262,0.7013712,0.5711125
6,1.1710608,0.0075468956,0.68830323,0.5536185
7,1.1321547,0.0064785965,0.67581856,0.53725004
8,1.095693,0.0055459267,0.6638764,0.521808
9,1.0613431,0.00473946,0.65243423,0.5071484
10,1.0288098,0.004043332,0.6414505,0.49315372
11,0.9978326,0.0034446002,0.6308853,0.47971982
12,0.9681821,0.002934367,0.62070155,0.4667519
13,0.9396572,0.0025059017,0.61086464,0.45416608
14,0.912083,0.0021528364,0.601343,0.44189072
15,0.88530904,0.0018683154,0.5921074,0.42986637
16,0.85920876,0.0016449863,0.5831316,0.4180456
17,0.8336789,0.0014754132,0.5743915,0.4063925
18,0.8086402,0.0013524472,0.56586593,0.39488235
19,0.7840382,0.0012694236,0.557536,0.38350147
20,0.75984335,0.0012202519,0.5493854,0.37224767
21,0.7360516,0.001199417,0.5414008,0.3611303
22,0.7126838,0.0012019703,0.5335709,0.3501696
23,0.6897836,0.001223521,0.52588725,0.33939642
24,0.6674164,0.00126022,0.518344,0.32885113
25,0.64566565,0.0013087367,0.5109376,0.31858188
26,0.62463,0.0013662201,0.5036665,0.30864337
27,0.6044178,0.0014302582,0.49653172,0.29909402
28,0.585143,0.0014988191,0.48953578,0.28999406
29,0.56691825,0.001570216,0.4826828,0.28140217
30,0.54984987,0.00164303,0.475978,0.27337295
31,0.5340307,0.001716045,0.4694275,0.2659536
32,0.51953495,0.0017882155,0.46303776,0.2591815
33,0.5064132,0.0018586147,0.4568153,0.25308147
34,0.49468842,0.0019263916,0.45076627,0.24766445
35,0.48435444,0.0019907714,0.44489598,0.2429264
36,0.47537518,0.0020510491,0.43920895,0.23884833
37,0.4676869,0.0021065923,0.4337083,0.2353973
38,0.4612015,0.002156858,0.42839572,0.23252833
39,0.45581192,0.0022014133,0.42327136,0.23018701
40,0.45139807,0.0022399416,0.41833416,0.2283127
41,0.44783354,0.0022722646,0.41358146,0.22684185
42,0.44499165,0.0022983453,0.4090094,0.2257111
43,0.44275135,0.002318289,0.4046131,0.22486
44,0.44100094,0.0023323174,0.40038693,0.22423339
45,0.43964165,0.0023407661,0.39632457,0.2237825
46,0.43858847,0.0023440537,0.39241937,0.22346577
47,0.4377707,0.002342666,0.3886644,0.22324908
48,0.4371311,0.0023371163,0.38505268,0.22310504
49,0.43662468,0.0023279355,0.3815773,0.22301252
50,0.4362166,0.0023156467,0.3782316,0.22295542
51,0.43588072,0.0023007425,0.37500903,0.22292209
52,0.43559766,0.002283685,0.37190336,0.22290406
53,0.43535337,0.002264894,0.36890867,0.22289555
54,0.4351375,0.0022447377,0.3660194,0.22289264
55,0.43494302,0.002223542,0.36323026,0.22289276
56,0.43476468,0.0022015832,0.36053622,0.22289428
57,0.43459874,0.002179095,0.35793257,0.22289619
58,0.43444267,0.0021562718,0.3554149,0.22289796
59,0.4342944,0.0021332742,0.35297903,0.22289929
60,0.4341527,0.0021102324,0.35062104,0.2229
61,0.4340163,0.002087249,0.34833732,0.22290015
62,0.43388438,0.0020644055,0.34612432,0.2228997
63,0.43375626,0.002041765,0.34397885,0.22289868
64,0.43363133,0.002019376,0.34189788,0.22289714
65,0.43350905,0.0019972767,0.3398785,0.22289515
66,0.43338904,0.001975488,0.33791792,0.22289272
67,0.43327084,0.00195403,0.33601367,0.22288987
68,0.4331541,0.0019329172,0.33416328,0.22288664
69,0.43303853,0.001912152,0.33236438,0.22288303
70,0.43292373,0.0018917419,0.33061492,0.22287898
71,0.4328096,0.0018716846,0.32891285,0.22287464
72,0.43269572,0.0018519802,0.3272561,0.2228699
73,0.43258196,0.0018326218,0.325643,0.22286478
74,0.432468,0.0018136066,0.3240717,0.22285923
75,0.4323538,0.001794933,0.3225406,0.22285335
76,0.43223906,0.0017765876,0.32104808,0.22284703
77,0.43212366,0.0017585692,0.31959262,0.22284034
78,0.4320075,0.0017408723,0.3181729,0.2228332
79,0.43189034,0.0017234873,0.3167875,0.22282568
80,0.43177217,0.0017064083,0.3154352,0.22281778
81,0.43165287,0.0016896322,0.31411472,0.2228094
82,0.43153223,0.0016731505,0.31282488,0.22280066
83,0.4314103,0.0016569563,0.3115646,0.22279151
84,0.4312869,0.001641049,0.31033286,0.2227819
85,0.43116197,0.0016254203,0.30912858,0.22277196
86,0.43103552,0.0016100621,0.3079509,0.22276156
87,0.4309074,0.0015949719,0.30679876,0.22275074
88,0.43077755,0.0015801486,0.30567133,0.22273955
89,0.430646,0.0015655819,0.30456778,0.22272798
