,loss,res_loss,bound_loss
2559,"tf.Tensor(0.00022008421, shape=(), dtype=float32)","tf.Tensor(6.746093e-08, shape=(), dtype=float32)","tf.Tensor(6.828925e-06, shape=(), dtype=float32)"
2560,"tf.Tensor(0.00022005488, shape=(), dtype=float32)","tf.Tensor(6.6534646e-08, shape=(), dtype=float32)","tf.Tensor(6.821292e-06, shape=(), dtype=float32)"
2561,"tf.Tensor(0.00022021693, shape=(), dtype=float32)","tf.Tensor(7.061258e-08, shape=(), dtype=float32)","tf.Tensor(6.9199027e-06, shape=(), dtype=float32)"
2562,"tf.Tensor(0.00022005221, shape=(), dtype=float32)","tf.Tensor(6.634964e-08, shape=(), dtype=float32)","tf.Tensor(6.8250106e-06, shape=(), dtype=float32)"
2563,"tf.Tensor(0.0002200296, shape=(), dtype=float32)","tf.Tensor(6.626714e-08, shape=(), dtype=float32)","tf.Tensor(6.819457e-06, shape=(), dtype=float32)"
2564,"tf.Tensor(0.00022005223, shape=(), dtype=float32)","tf.Tensor(6.8021514e-08, shape=(), dtype=float32)","tf.Tensor(6.864202e-06, shape=(), dtype=float32)"
2565,"tf.Tensor(0.00022002035, shape=(), dtype=float32)","tf.Tensor(6.651393e-08, shape=(), dtype=float32)","tf.Tensor(6.8256645e-06, shape=(), dtype=float32)"
2566,"tf.Tensor(0.00022000565, shape=(), dtype=float32)","tf.Tensor(6.624141e-08, shape=(), dtype=float32)","tf.Tensor(6.818949e-06, shape=(), dtype=float32)"
2567,"tf.Tensor(0.0002199745, shape=(), dtype=float32)","tf.Tensor(6.544365e-08, shape=(), dtype=float32)","tf.Tensor(6.809363e-06, shape=(), dtype=float32)"
2568,"tf.Tensor(0.00022042627, shape=(), dtype=float32)","tf.Tensor(6.8722095e-08, shape=(), dtype=float32)","tf.Tensor(7.2033426e-06, shape=(), dtype=float32)"
2569,"tf.Tensor(0.000219974, shape=(), dtype=float32)","tf.Tensor(6.530703e-08, shape=(), dtype=float32)","tf.Tensor(6.811451e-06, shape=(), dtype=float32)"
2570,"tf.Tensor(0.00021993123, shape=(), dtype=float32)","tf.Tensor(6.388296e-08, shape=(), dtype=float32)","tf.Tensor(6.800688e-06, shape=(), dtype=float32)"
2571,"tf.Tensor(0.0002199101, shape=(), dtype=float32)","tf.Tensor(6.522156e-08, shape=(), dtype=float32)","tf.Tensor(6.839212e-06, shape=(), dtype=float32)"
2572,"tf.Tensor(0.00021989192, shape=(), dtype=float32)","tf.Tensor(6.335314e-08, shape=(), dtype=float32)","tf.Tensor(6.8087065e-06, shape=(), dtype=float32)"
2573,"tf.Tensor(0.00021988733, shape=(), dtype=float32)","tf.Tensor(6.5755664e-08, shape=(), dtype=float32)","tf.Tensor(6.831447e-06, shape=(), dtype=float32)"
2574,"tf.Tensor(0.0002198657, shape=(), dtype=float32)","tf.Tensor(6.432756e-08, shape=(), dtype=float32)","tf.Tensor(6.807466e-06, shape=(), dtype=float32)"
2575,"tf.Tensor(0.0002198477, shape=(), dtype=float32)","tf.Tensor(6.470847e-08, shape=(), dtype=float32)","tf.Tensor(6.800528e-06, shape=(), dtype=float32)"
2576,"tf.Tensor(0.00021982522, shape=(), dtype=float32)","tf.Tensor(6.679888e-08, shape=(), dtype=float32)","tf.Tensor(6.807849e-06, shape=(), dtype=float32)"
2577,"tf.Tensor(0.00021982376, shape=(), dtype=float32)","tf.Tensor(6.608427e-08, shape=(), dtype=float32)","tf.Tensor(6.797702e-06, shape=(), dtype=float32)"
2578,"tf.Tensor(0.00021979146, shape=(), dtype=float32)","tf.Tensor(6.658725e-08, shape=(), dtype=float32)","tf.Tensor(6.7972073e-06, shape=(), dtype=float32)"
2579,"tf.Tensor(0.00021995748, shape=(), dtype=float32)","tf.Tensor(6.935646e-08, shape=(), dtype=float32)","tf.Tensor(6.957721e-06, shape=(), dtype=float32)"
2580,"tf.Tensor(0.00021978542, shape=(), dtype=float32)","tf.Tensor(6.6906495e-08, shape=(), dtype=float32)","tf.Tensor(6.8040003e-06, shape=(), dtype=float32)"
2581,"tf.Tensor(0.00021976452, shape=(), dtype=float32)","tf.Tensor(6.6586836e-08, shape=(), dtype=float32)","tf.Tensor(6.79742e-06, shape=(), dtype=float32)"
2582,"tf.Tensor(0.00021972075, shape=(), dtype=float32)","tf.Tensor(6.5899194e-08, shape=(), dtype=float32)","tf.Tensor(6.796569e-06, shape=(), dtype=float32)"
2583,"tf.Tensor(0.00022059662, shape=(), dtype=float32)","tf.Tensor(7.6820015e-08, shape=(), dtype=float32)","tf.Tensor(7.440583e-06, shape=(), dtype=float32)"
2584,"tf.Tensor(0.00021971774, shape=(), dtype=float32)","tf.Tensor(6.588496e-08, shape=(), dtype=float32)","tf.Tensor(6.796995e-06, shape=(), dtype=float32)"
2585,"tf.Tensor(0.00021967806, shape=(), dtype=float32)","tf.Tensor(6.5515295e-08, shape=(), dtype=float32)","tf.Tensor(6.790128e-06, shape=(), dtype=float32)"
2586,"tf.Tensor(0.00021973171, shape=(), dtype=float32)","tf.Tensor(7.04427e-08, shape=(), dtype=float32)","tf.Tensor(6.873362e-06, shape=(), dtype=float32)"
2587,"tf.Tensor(0.00021965516, shape=(), dtype=float32)","tf.Tensor(6.607872e-08, shape=(), dtype=float32)","tf.Tensor(6.7974265e-06, shape=(), dtype=float32)"
2588,"tf.Tensor(0.00021960498, shape=(), dtype=float32)","tf.Tensor(6.707636e-08, shape=(), dtype=float32)","tf.Tensor(6.7920155e-06, shape=(), dtype=float32)"
2589,"tf.Tensor(0.00021996498, shape=(), dtype=float32)","tf.Tensor(8.181131e-08, shape=(), dtype=float32)","tf.Tensor(7.0913875e-06, shape=(), dtype=float32)"
2590,"tf.Tensor(0.00021960009, shape=(), dtype=float32)","tf.Tensor(6.775122e-08, shape=(), dtype=float32)","tf.Tensor(6.799099e-06, shape=(), dtype=float32)"
2591,"tf.Tensor(0.00021956621, shape=(), dtype=float32)","tf.Tensor(6.8074826e-08, shape=(), dtype=float32)","tf.Tensor(6.7932842e-06, shape=(), dtype=float32)"
2592,"tf.Tensor(0.00021967114, shape=(), dtype=float32)","tf.Tensor(7.8366874e-08, shape=(), dtype=float32)","tf.Tensor(6.919363e-06, shape=(), dtype=float32)"
2593,"tf.Tensor(0.00021955633, shape=(), dtype=float32)","tf.Tensor(6.913262e-08, shape=(), dtype=float32)","tf.Tensor(6.8011213e-06, shape=(), dtype=float32)"
2594,"tf.Tensor(0.0002195407, shape=(), dtype=float32)","tf.Tensor(7.116871e-08, shape=(), dtype=float32)","tf.Tensor(6.8155455e-06, shape=(), dtype=float32)"
2595,"tf.Tensor(0.00021953446, shape=(), dtype=float32)","tf.Tensor(7.032102e-08, shape=(), dtype=float32)","tf.Tensor(6.8014024e-06, shape=(), dtype=float32)"
2596,"tf.Tensor(0.00021951667, shape=(), dtype=float32)","tf.Tensor(7.0367015e-08, shape=(), dtype=float32)","tf.Tensor(6.798653e-06, shape=(), dtype=float32)"
2597,"tf.Tensor(0.0002194889, shape=(), dtype=float32)","tf.Tensor(7.069713e-08, shape=(), dtype=float32)","tf.Tensor(6.807328e-06, shape=(), dtype=float32)"
2598,"tf.Tensor(0.00022020307, shape=(), dtype=float32)","tf.Tensor(7.581952e-08, shape=(), dtype=float32)","tf.Tensor(7.3607616e-06, shape=(), dtype=float32)"
2599,"tf.Tensor(0.00021948916, shape=(), dtype=float32)","tf.Tensor(7.0700295e-08, shape=(), dtype=float32)","tf.Tensor(6.8073136e-06, shape=(), dtype=float32)"
2600,"tf.Tensor(0.00021944656, shape=(), dtype=float32)","tf.Tensor(6.9935915e-08, shape=(), dtype=float32)","tf.Tensor(6.8055315e-06, shape=(), dtype=float32)"
2601,"tf.Tensor(0.00021948408, shape=(), dtype=float32)","tf.Tensor(6.8446454e-08, shape=(), dtype=float32)","tf.Tensor(6.9118e-06, shape=(), dtype=float32)"
2602,"tf.Tensor(0.00021942305, shape=(), dtype=float32)","tf.Tensor(6.905101e-08, shape=(), dtype=float32)","tf.Tensor(6.827402e-06, shape=(), dtype=float32)"
2603,"tf.Tensor(0.00021938732, shape=(), dtype=float32)","tf.Tensor(6.7765264e-08, shape=(), dtype=float32)","tf.Tensor(6.8162503e-06, shape=(), dtype=float32)"
2604,"tf.Tensor(0.000219351, shape=(), dtype=float32)","tf.Tensor(7.058329e-08, shape=(), dtype=float32)","tf.Tensor(6.8348804e-06, shape=(), dtype=float32)"
2605,"tf.Tensor(0.00021934026, shape=(), dtype=float32)","tf.Tensor(6.829393e-08, shape=(), dtype=float32)","tf.Tensor(6.8164404e-06, shape=(), dtype=float32)"
2606,"tf.Tensor(0.00021931222, shape=(), dtype=float32)","tf.Tensor(6.869247e-08, shape=(), dtype=float32)","tf.Tensor(6.806467e-06, shape=(), dtype=float32)"
2607,"tf.Tensor(0.00021929404, shape=(), dtype=float32)","tf.Tensor(7.102915e-08, shape=(), dtype=float32)","tf.Tensor(6.8317554e-06, shape=(), dtype=float32)"
2608,"tf.Tensor(0.00021928128, shape=(), dtype=float32)","tf.Tensor(7.0022075e-08, shape=(), dtype=float32)","tf.Tensor(6.8093123e-06, shape=(), dtype=float32)"
2609,"tf.Tensor(0.00021923022, shape=(), dtype=float32)","tf.Tensor(6.977597e-08, shape=(), dtype=float32)","tf.Tensor(6.815282e-06, shape=(), dtype=float32)"
2610,"tf.Tensor(0.0002195997, shape=(), dtype=float32)","tf.Tensor(6.962854e-08, shape=(), dtype=float32)","tf.Tensor(7.094854e-06, shape=(), dtype=float32)"
2611,"tf.Tensor(0.00021922746, shape=(), dtype=float32)","tf.Tensor(6.970092e-08, shape=(), dtype=float32)","tf.Tensor(6.8247646e-06, shape=(), dtype=float32)"
2612,"tf.Tensor(0.00021916418, shape=(), dtype=float32)","tf.Tensor(6.929885e-08, shape=(), dtype=float32)","tf.Tensor(6.816558e-06, shape=(), dtype=float32)"
2613,"tf.Tensor(0.0002194933, shape=(), dtype=float32)","tf.Tensor(7.068037e-08, shape=(), dtype=float32)","tf.Tensor(7.1777386e-06, shape=(), dtype=float32)"
2614,"tf.Tensor(0.00021915372, shape=(), dtype=float32)","tf.Tensor(6.920082e-08, shape=(), dtype=float32)","tf.Tensor(6.8280137e-06, shape=(), dtype=float32)"
2615,"tf.Tensor(0.00021912377, shape=(), dtype=float32)","tf.Tensor(6.884738e-08, shape=(), dtype=float32)","tf.Tensor(6.8201557e-06, shape=(), dtype=float32)"
2616,"tf.Tensor(0.00021912123, shape=(), dtype=float32)","tf.Tensor(6.838548e-08, shape=(), dtype=float32)","tf.Tensor(6.84856e-06, shape=(), dtype=float32)"
2617,"tf.Tensor(0.00021909917, shape=(), dtype=float32)","tf.Tensor(6.841488e-08, shape=(), dtype=float32)","tf.Tensor(6.821516e-06, shape=(), dtype=float32)"
2618,"tf.Tensor(0.0002190495, shape=(), dtype=float32)","tf.Tensor(6.833973e-08, shape=(), dtype=float32)","tf.Tensor(6.817873e-06, shape=(), dtype=float32)"
2619,"tf.Tensor(0.0002191304, shape=(), dtype=float32)","tf.Tensor(6.998655e-08, shape=(), dtype=float32)","tf.Tensor(6.967449e-06, shape=(), dtype=float32)"
2620,"tf.Tensor(0.00021902713, shape=(), dtype=float32)","tf.Tensor(6.852602e-08, shape=(), dtype=float32)","tf.Tensor(6.8364884e-06, shape=(), dtype=float32)"
2621,"tf.Tensor(0.00021897368, shape=(), dtype=float32)","tf.Tensor(6.858045e-08, shape=(), dtype=float32)","tf.Tensor(6.81373e-06, shape=(), dtype=float32)"
2622,"tf.Tensor(0.00021905902, shape=(), dtype=float32)","tf.Tensor(6.926963e-08, shape=(), dtype=float32)","tf.Tensor(6.9314306e-06, shape=(), dtype=float32)"
2623,"tf.Tensor(0.0002189463, shape=(), dtype=float32)","tf.Tensor(6.872152e-08, shape=(), dtype=float32)","tf.Tensor(6.8136055e-06, shape=(), dtype=float32)"
2624,"tf.Tensor(0.0002188986, shape=(), dtype=float32)","tf.Tensor(6.9088756e-08, shape=(), dtype=float32)","tf.Tensor(6.798841e-06, shape=(), dtype=float32)"
2625,"tf.Tensor(0.0002189174, shape=(), dtype=float32)","tf.Tensor(7.1515394e-08, shape=(), dtype=float32)","tf.Tensor(6.8896065e-06, shape=(), dtype=float32)"
2626,"tf.Tensor(0.00021886182, shape=(), dtype=float32)","tf.Tensor(6.9971165e-08, shape=(), dtype=float32)","tf.Tensor(6.8104573e-06, shape=(), dtype=float32)"
2627,"tf.Tensor(0.00021898087, shape=(), dtype=float32)","tf.Tensor(7.1798375e-08, shape=(), dtype=float32)","tf.Tensor(6.9250154e-06, shape=(), dtype=float32)"
2628,"tf.Tensor(0.00021884807, shape=(), dtype=float32)","tf.Tensor(7.035079e-08, shape=(), dtype=float32)","tf.Tensor(6.8103946e-06, shape=(), dtype=float32)"
2629,"tf.Tensor(0.00021883307, shape=(), dtype=float32)","tf.Tensor(7.0609424e-08, shape=(), dtype=float32)","tf.Tensor(6.807996e-06, shape=(), dtype=float32)"
2630,"tf.Tensor(0.00021879788, shape=(), dtype=float32)","tf.Tensor(7.195625e-08, shape=(), dtype=float32)","tf.Tensor(6.812833e-06, shape=(), dtype=float32)"
2631,"tf.Tensor(0.00021927504, shape=(), dtype=float32)","tf.Tensor(8.6055366e-08, shape=(), dtype=float32)","tf.Tensor(7.2917983e-06, shape=(), dtype=float32)"
2632,"tf.Tensor(0.0002187968, shape=(), dtype=float32)","tf.Tensor(7.2462896e-08, shape=(), dtype=float32)","tf.Tensor(6.820883e-06, shape=(), dtype=float32)"
2633,"tf.Tensor(0.00021875386, shape=(), dtype=float32)","tf.Tensor(7.3799136e-08, shape=(), dtype=float32)","tf.Tensor(6.8160193e-06, shape=(), dtype=float32)"
2634,"tf.Tensor(0.00021889698, shape=(), dtype=float32)","tf.Tensor(8.1417554e-08, shape=(), dtype=float32)","tf.Tensor(6.9847883e-06, shape=(), dtype=float32)"
2635,"tf.Tensor(0.00021874583, shape=(), dtype=float32)","tf.Tensor(7.508565e-08, shape=(), dtype=float32)","tf.Tensor(6.8293725e-06, shape=(), dtype=float32)"
2636,"tf.Tensor(0.00021871144, shape=(), dtype=float32)","tf.Tensor(7.569497e-08, shape=(), dtype=float32)","tf.Tensor(6.814654e-06, shape=(), dtype=float32)"
2637,"tf.Tensor(0.00021864525, shape=(), dtype=float32)","tf.Tensor(7.836782e-08, shape=(), dtype=float32)","tf.Tensor(6.80555e-06, shape=(), dtype=float32)"
2638,"tf.Tensor(0.00022013394, shape=(), dtype=float32)","tf.Tensor(9.72687e-08, shape=(), dtype=float32)","tf.Tensor(7.864245e-06, shape=(), dtype=float32)"
2639,"tf.Tensor(0.0002186443, shape=(), dtype=float32)","tf.Tensor(7.848652e-08, shape=(), dtype=float32)","tf.Tensor(6.8078916e-06, shape=(), dtype=float32)"
2640,"tf.Tensor(0.00021858829, shape=(), dtype=float32)","tf.Tensor(7.697653e-08, shape=(), dtype=float32)","tf.Tensor(6.80257e-06, shape=(), dtype=float32)"
2641,"tf.Tensor(0.00021883466, shape=(), dtype=float32)","tf.Tensor(7.8880305e-08, shape=(), dtype=float32)","tf.Tensor(7.1066156e-06, shape=(), dtype=float32)"
2642,"tf.Tensor(0.00021857824, shape=(), dtype=float32)","tf.Tensor(7.640103e-08, shape=(), dtype=float32)","tf.Tensor(6.819467e-06, shape=(), dtype=float32)"
2643,"tf.Tensor(0.0002185274, shape=(), dtype=float32)","tf.Tensor(7.572747e-08, shape=(), dtype=float32)","tf.Tensor(6.8087743e-06, shape=(), dtype=float32)"
2644,"tf.Tensor(0.00021864411, shape=(), dtype=float32)","tf.Tensor(8.249964e-08, shape=(), dtype=float32)","tf.Tensor(6.9781026e-06, shape=(), dtype=float32)"
2645,"tf.Tensor(0.00021851002, shape=(), dtype=float32)","tf.Tensor(7.606347e-08, shape=(), dtype=float32)","tf.Tensor(6.823957e-06, shape=(), dtype=float32)"
2646,"tf.Tensor(0.00021845593, shape=(), dtype=float32)","tf.Tensor(7.6243985e-08, shape=(), dtype=float32)","tf.Tensor(6.805552e-06, shape=(), dtype=float32)"
2647,"tf.Tensor(0.00021852627, shape=(), dtype=float32)","tf.Tensor(7.889929e-08, shape=(), dtype=float32)","tf.Tensor(6.8754707e-06, shape=(), dtype=float32)"
2648,"tf.Tensor(0.00021843122, shape=(), dtype=float32)","tf.Tensor(7.6808426e-08, shape=(), dtype=float32)","tf.Tensor(6.803394e-06, shape=(), dtype=float32)"
2649,"tf.Tensor(0.00021840657, shape=(), dtype=float32)","tf.Tensor(7.783637e-08, shape=(), dtype=float32)","tf.Tensor(6.830201e-06, shape=(), dtype=float32)"
2650,"tf.Tensor(0.00021839015, shape=(), dtype=float32)","tf.Tensor(7.736541e-08, shape=(), dtype=float32)","tf.Tensor(6.8040063e-06, shape=(), dtype=float32)"
2651,"tf.Tensor(0.00021837096, shape=(), dtype=float32)","tf.Tensor(7.7542055e-08, shape=(), dtype=float32)","tf.Tensor(6.797053e-06, shape=(), dtype=float32)"
2652,"tf.Tensor(0.00021831685, shape=(), dtype=float32)","tf.Tensor(7.909434e-08, shape=(), dtype=float32)","tf.Tensor(6.7806122e-06, shape=(), dtype=float32)"
2653,"tf.Tensor(0.00021869864, shape=(), dtype=float32)","tf.Tensor(1.07003345e-07, shape=(), dtype=float32)","tf.Tensor(7.0932415e-06, shape=(), dtype=float32)"
2654,"tf.Tensor(0.00021830235, shape=(), dtype=float32)","tf.Tensor(8.123398e-08, shape=(), dtype=float32)","tf.Tensor(6.7863593e-06, shape=(), dtype=float32)"
2655,"tf.Tensor(0.00021824494, shape=(), dtype=float32)","tf.Tensor(8.442092e-08, shape=(), dtype=float32)","tf.Tensor(6.778114e-06, shape=(), dtype=float32)"
2656,"tf.Tensor(0.0002189545, shape=(), dtype=float32)","tf.Tensor(1.0747452e-07, shape=(), dtype=float32)","tf.Tensor(7.277924e-06, shape=(), dtype=float32)"
2657,"tf.Tensor(0.0002182446, shape=(), dtype=float32)","tf.Tensor(8.4840686e-08, shape=(), dtype=float32)","tf.Tensor(6.7808837e-06, shape=(), dtype=float32)"
2658,"tf.Tensor(0.00021819698, shape=(), dtype=float32)","tf.Tensor(8.5307256e-08, shape=(), dtype=float32)","tf.Tensor(6.7647684e-06, shape=(), dtype=float32)"
2659,"tf.Tensor(0.00021820074, shape=(), dtype=float32)","tf.Tensor(8.818054e-08, shape=(), dtype=float32)","tf.Tensor(6.815461e-06, shape=(), dtype=float32)"
2660,"tf.Tensor(0.00021815974, shape=(), dtype=float32)","tf.Tensor(8.652028e-08, shape=(), dtype=float32)","tf.Tensor(6.7672495e-06, shape=(), dtype=float32)"
2661,"tf.Tensor(0.00021816278, shape=(), dtype=float32)","tf.Tensor(8.391732e-08, shape=(), dtype=float32)","tf.Tensor(6.790967e-06, shape=(), dtype=float32)"
2662,"tf.Tensor(0.00021814434, shape=(), dtype=float32)","tf.Tensor(8.52047e-08, shape=(), dtype=float32)","tf.Tensor(6.7663195e-06, shape=(), dtype=float32)"
2663,"tf.Tensor(0.0002181268, shape=(), dtype=float32)","tf.Tensor(8.4037715e-08, shape=(), dtype=float32)","tf.Tensor(6.756543e-06, shape=(), dtype=float32)"
2664,"tf.Tensor(0.00021809533, shape=(), dtype=float32)","tf.Tensor(8.0778285e-08, shape=(), dtype=float32)","tf.Tensor(6.7472233e-06, shape=(), dtype=float32)"
2665,"tf.Tensor(0.0002180953, shape=(), dtype=float32)","tf.Tensor(8.0983746e-08, shape=(), dtype=float32)","tf.Tensor(6.747553e-06, shape=(), dtype=float32)"
2666,"tf.Tensor(0.00021806214, shape=(), dtype=float32)","tf.Tensor(8.072837e-08, shape=(), dtype=float32)","tf.Tensor(6.731919e-06, shape=(), dtype=float32)"
2667,"tf.Tensor(0.00021804486, shape=(), dtype=float32)","tf.Tensor(8.021788e-08, shape=(), dtype=float32)","tf.Tensor(6.742528e-06, shape=(), dtype=float32)"
2668,"tf.Tensor(0.00021803168, shape=(), dtype=float32)","tf.Tensor(8.032352e-08, shape=(), dtype=float32)","tf.Tensor(6.726007e-06, shape=(), dtype=float32)"
2669,"tf.Tensor(0.00021798114, shape=(), dtype=float32)","tf.Tensor(8.0155864e-08, shape=(), dtype=float32)","tf.Tensor(6.7171723e-06, shape=(), dtype=float32)"
2670,"tf.Tensor(0.0002186583, shape=(), dtype=float32)","tf.Tensor(8.3405965e-08, shape=(), dtype=float32)","tf.Tensor(7.2708517e-06, shape=(), dtype=float32)"
2671,"tf.Tensor(0.00021798028, shape=(), dtype=float32)","tf.Tensor(8.0156575e-08, shape=(), dtype=float32)","tf.Tensor(6.719846e-06, shape=(), dtype=float32)"
2672,"tf.Tensor(0.00021795741, shape=(), dtype=float32)","tf.Tensor(8.021646e-08, shape=(), dtype=float32)","tf.Tensor(6.7073606e-06, shape=(), dtype=float32)"
2673,"tf.Tensor(0.00021790377, shape=(), dtype=float32)","tf.Tensor(8.086591e-08, shape=(), dtype=float32)","tf.Tensor(6.6898965e-06, shape=(), dtype=float32)"
2674,"tf.Tensor(0.000218541, shape=(), dtype=float32)","tf.Tensor(9.4130286e-08, shape=(), dtype=float32)","tf.Tensor(7.1586933e-06, shape=(), dtype=float32)"
2675,"tf.Tensor(0.00021790211, shape=(), dtype=float32)","tf.Tensor(8.1279815e-08, shape=(), dtype=float32)","tf.Tensor(6.6946936e-06, shape=(), dtype=float32)"
2676,"tf.Tensor(0.0002178546, shape=(), dtype=float32)","tf.Tensor(8.0894694e-08, shape=(), dtype=float32)","tf.Tensor(6.68249e-06, shape=(), dtype=float32)"
2677,"tf.Tensor(0.0002178682, shape=(), dtype=float32)","tf.Tensor(8.034368e-08, shape=(), dtype=float32)","tf.Tensor(6.7239785e-06, shape=(), dtype=float32)"
2678,"tf.Tensor(0.00021781627, shape=(), dtype=float32)","tf.Tensor(8.0441325e-08, shape=(), dtype=float32)","tf.Tensor(6.6824628e-06, shape=(), dtype=float32)"
2679,"tf.Tensor(0.00021777707, shape=(), dtype=float32)","tf.Tensor(8.054036e-08, shape=(), dtype=float32)","tf.Tensor(6.6706193e-06, shape=(), dtype=float32)"
2680,"tf.Tensor(0.000217745, shape=(), dtype=float32)","tf.Tensor(8.253812e-08, shape=(), dtype=float32)","tf.Tensor(6.6974376e-06, shape=(), dtype=float32)"
2681,"tf.Tensor(0.00021773207, shape=(), dtype=float32)","tf.Tensor(8.150889e-08, shape=(), dtype=float32)","tf.Tensor(6.673617e-06, shape=(), dtype=float32)"
2682,"tf.Tensor(0.00021767993, shape=(), dtype=float32)","tf.Tensor(8.23039e-08, shape=(), dtype=float32)","tf.Tensor(6.6713624e-06, shape=(), dtype=float32)"
2683,"tf.Tensor(0.000217877, shape=(), dtype=float32)","tf.Tensor(8.750436e-08, shape=(), dtype=float32)","tf.Tensor(6.861232e-06, shape=(), dtype=float32)"
2684,"tf.Tensor(0.00021767062, shape=(), dtype=float32)","tf.Tensor(8.3061366e-08, shape=(), dtype=float32)","tf.Tensor(6.6839416e-06, shape=(), dtype=float32)"
2685,"tf.Tensor(0.00021761171, shape=(), dtype=float32)","tf.Tensor(8.346357e-08, shape=(), dtype=float32)","tf.Tensor(6.6812136e-06, shape=(), dtype=float32)"
2686,"tf.Tensor(0.000218038, shape=(), dtype=float32)","tf.Tensor(8.588769e-08, shape=(), dtype=float32)","tf.Tensor(7.1648187e-06, shape=(), dtype=float32)"
2687,"tf.Tensor(0.00021760658, shape=(), dtype=float32)","tf.Tensor(8.3627384e-08, shape=(), dtype=float32)","tf.Tensor(6.6919843e-06, shape=(), dtype=float32)"
2688,"tf.Tensor(0.00021755886, shape=(), dtype=float32)","tf.Tensor(8.344633e-08, shape=(), dtype=float32)","tf.Tensor(6.674637e-06, shape=(), dtype=float32)"
2689,"tf.Tensor(0.00021762823, shape=(), dtype=float32)","tf.Tensor(8.300904e-08, shape=(), dtype=float32)","tf.Tensor(6.7762853e-06, shape=(), dtype=float32)"
2690,"tf.Tensor(0.00021753267, shape=(), dtype=float32)","tf.Tensor(8.3249e-08, shape=(), dtype=float32)","tf.Tensor(6.6775133e-06, shape=(), dtype=float32)"
2691,"tf.Tensor(0.00021747765, shape=(), dtype=float32)","tf.Tensor(8.231662e-08, shape=(), dtype=float32)","tf.Tensor(6.66396e-06, shape=(), dtype=float32)"
2692,"tf.Tensor(0.00021740001, shape=(), dtype=float32)","tf.Tensor(8.3964224e-08, shape=(), dtype=float32)","tf.Tensor(6.692966e-06, shape=(), dtype=float32)"
2693,"tf.Tensor(0.00021739677, shape=(), dtype=float32)","tf.Tensor(8.320343e-08, shape=(), dtype=float32)","tf.Tensor(6.68015e-06, shape=(), dtype=float32)"
2694,"tf.Tensor(0.00021746507, shape=(), dtype=float32)","tf.Tensor(8.526685e-08, shape=(), dtype=float32)","tf.Tensor(6.7664887e-06, shape=(), dtype=float32)"
2695,"tf.Tensor(0.0002173701, shape=(), dtype=float32)","tf.Tensor(8.3700584e-08, shape=(), dtype=float32)","tf.Tensor(6.6769608e-06, shape=(), dtype=float32)"
2696,"tf.Tensor(0.000217354, shape=(), dtype=float32)","tf.Tensor(8.3694985e-08, shape=(), dtype=float32)","tf.Tensor(6.671666e-06, shape=(), dtype=float32)"
2697,"tf.Tensor(0.00021730391, shape=(), dtype=float32)","tf.Tensor(8.4353665e-08, shape=(), dtype=float32)","tf.Tensor(6.6648477e-06, shape=(), dtype=float32)"
2698,"tf.Tensor(0.00021764784, shape=(), dtype=float32)","tf.Tensor(1.0401527e-07, shape=(), dtype=float32)","tf.Tensor(6.981976e-06, shape=(), dtype=float32)"
2699,"tf.Tensor(0.00021729319, shape=(), dtype=float32)","tf.Tensor(8.558266e-08, shape=(), dtype=float32)","tf.Tensor(6.6744037e-06, shape=(), dtype=float32)"
2700,"tf.Tensor(0.00021722773, shape=(), dtype=float32)","tf.Tensor(8.671053e-08, shape=(), dtype=float32)","tf.Tensor(6.663525e-06, shape=(), dtype=float32)"
2701,"tf.Tensor(0.00021731836, shape=(), dtype=float32)","tf.Tensor(9.30425e-08, shape=(), dtype=float32)","tf.Tensor(6.8321e-06, shape=(), dtype=float32)"
2702,"tf.Tensor(0.00021719767, shape=(), dtype=float32)","tf.Tensor(8.8518135e-08, shape=(), dtype=float32)","tf.Tensor(6.6839316e-06, shape=(), dtype=float32)"
2703,"tf.Tensor(0.00021714326, shape=(), dtype=float32)","tf.Tensor(8.842061e-08, shape=(), dtype=float32)","tf.Tensor(6.679062e-06, shape=(), dtype=float32)"
2704,"tf.Tensor(0.00021735142, shape=(), dtype=float32)","tf.Tensor(9.161063e-08, shape=(), dtype=float32)","tf.Tensor(6.891913e-06, shape=(), dtype=float32)"
2705,"tf.Tensor(0.00021713012, shape=(), dtype=float32)","tf.Tensor(8.860113e-08, shape=(), dtype=float32)","tf.Tensor(6.6939288e-06, shape=(), dtype=float32)"
2706,"tf.Tensor(0.00021707438, shape=(), dtype=float32)","tf.Tensor(8.8279286e-08, shape=(), dtype=float32)","tf.Tensor(6.7061965e-06, shape=(), dtype=float32)"
2707,"tf.Tensor(0.00021792985, shape=(), dtype=float32)","tf.Tensor(9.468591e-08, shape=(), dtype=float32)","tf.Tensor(7.3930732e-06, shape=(), dtype=float32)"
2708,"tf.Tensor(0.00021707412, shape=(), dtype=float32)","tf.Tensor(8.828155e-08, shape=(), dtype=float32)","tf.Tensor(6.7055544e-06, shape=(), dtype=float32)"
2709,"tf.Tensor(0.00021704924, shape=(), dtype=float32)","tf.Tensor(8.820846e-08, shape=(), dtype=float32)","tf.Tensor(6.693453e-06, shape=(), dtype=float32)"
2710,"tf.Tensor(0.00021702096, shape=(), dtype=float32)","tf.Tensor(8.867686e-08, shape=(), dtype=float32)","tf.Tensor(6.689538e-06, shape=(), dtype=float32)"
