,loss,res_loss,bound_loss
35,"tf.Tensor(0.0003491546, shape=(), dtype=float32)","tf.Tensor(1.758122e-07, shape=(), dtype=float32)","tf.Tensor(3.8169357e-05, shape=(), dtype=float32)"
36,"tf.Tensor(0.00036163628, shape=(), dtype=float32)","tf.Tensor(2.0718984e-07, shape=(), dtype=float32)","tf.Tensor(4.770528e-05, shape=(), dtype=float32)"
37,"tf.Tensor(0.0003491451, shape=(), dtype=float32)","tf.Tensor(1.757993e-07, shape=(), dtype=float32)","tf.Tensor(3.8200327e-05, shape=(), dtype=float32)"
38,"tf.Tensor(0.000348539, shape=(), dtype=float32)","tf.Tensor(1.8258488e-07, shape=(), dtype=float32)","tf.Tensor(3.8138074e-05, shape=(), dtype=float32)"
39,"tf.Tensor(0.00034846473, shape=(), dtype=float32)","tf.Tensor(1.8040012e-07, shape=(), dtype=float32)","tf.Tensor(3.802656e-05, shape=(), dtype=float32)"
40,"tf.Tensor(0.00034824002, shape=(), dtype=float32)","tf.Tensor(1.8423457e-07, shape=(), dtype=float32)","tf.Tensor(3.7932172e-05, shape=(), dtype=float32)"
41,"tf.Tensor(0.00034798356, shape=(), dtype=float32)","tf.Tensor(2.0249026e-07, shape=(), dtype=float32)","tf.Tensor(3.799627e-05, shape=(), dtype=float32)"
42,"tf.Tensor(0.00034794994, shape=(), dtype=float32)","tf.Tensor(1.972867e-07, shape=(), dtype=float32)","tf.Tensor(3.790962e-05, shape=(), dtype=float32)"
43,"tf.Tensor(0.00034745169, shape=(), dtype=float32)","tf.Tensor(2.1141685e-07, shape=(), dtype=float32)","tf.Tensor(3.7657246e-05, shape=(), dtype=float32)"
44,"tf.Tensor(0.00034637595, shape=(), dtype=float32)","tf.Tensor(2.8554857e-07, shape=(), dtype=float32)","tf.Tensor(3.719836e-05, shape=(), dtype=float32)"
45,"tf.Tensor(0.00036299956, shape=(), dtype=float32)","tf.Tensor(1.0786092e-06, shape=(), dtype=float32)","tf.Tensor(4.8306563e-05, shape=(), dtype=float32)"
46,"tf.Tensor(0.00034633474, shape=(), dtype=float32)","tf.Tensor(3.0695352e-07, shape=(), dtype=float32)","tf.Tensor(3.7220103e-05, shape=(), dtype=float32)"
47,"tf.Tensor(0.0003456301, shape=(), dtype=float32)","tf.Tensor(2.956029e-07, shape=(), dtype=float32)","tf.Tensor(3.695562e-05, shape=(), dtype=float32)"
48,"tf.Tensor(0.0003509295, shape=(), dtype=float32)","tf.Tensor(2.832972e-07, shape=(), dtype=float32)","tf.Tensor(4.1811676e-05, shape=(), dtype=float32)"
49,"tf.Tensor(0.00034557685, shape=(), dtype=float32)","tf.Tensor(2.9226868e-07, shape=(), dtype=float32)","tf.Tensor(3.7007987e-05, shape=(), dtype=float32)"
50,"tf.Tensor(0.000344718, shape=(), dtype=float32)","tf.Tensor(2.691613e-07, shape=(), dtype=float32)","tf.Tensor(3.6582667e-05, shape=(), dtype=float32)"
51,"tf.Tensor(0.0003466023, shape=(), dtype=float32)","tf.Tensor(2.5901326e-07, shape=(), dtype=float32)","tf.Tensor(3.7741298e-05, shape=(), dtype=float32)"
52,"tf.Tensor(0.00034438987, shape=(), dtype=float32)","tf.Tensor(2.5309822e-07, shape=(), dtype=float32)","tf.Tensor(3.644379e-05, shape=(), dtype=float32)"
53,"tf.Tensor(0.00034366897, shape=(), dtype=float32)","tf.Tensor(2.3530944e-07, shape=(), dtype=float32)","tf.Tensor(3.60978e-05, shape=(), dtype=float32)"
54,"tf.Tensor(0.00034469366, shape=(), dtype=float32)","tf.Tensor(2.4633476e-07, shape=(), dtype=float32)","tf.Tensor(3.6697893e-05, shape=(), dtype=float32)"
55,"tf.Tensor(0.00034331775, shape=(), dtype=float32)","tf.Tensor(2.243572e-07, shape=(), dtype=float32)","tf.Tensor(3.594455e-05, shape=(), dtype=float32)"
56,"tf.Tensor(0.0003428244, shape=(), dtype=float32)","tf.Tensor(2.0382708e-07, shape=(), dtype=float32)","tf.Tensor(3.5637673e-05, shape=(), dtype=float32)"
