,loss,residual_loss,bound_loss,init_loss
0,1.3982722,0.007102818,0.8186804,0.5724889
1,1.1132109,0.002993669,0.6281964,0.48202068
2,0.90703106,0.0018877765,0.4926222,0.41252106
3,0.75880206,0.0010452359,0.3996342,0.3581226
4,0.6497794,0.0008504291,0.335688,0.313241
5,0.5670416,0.0009833963,0.2900217,0.2760365
6,0.50691617,0.0012474045,0.25769955,0.2479692
7,0.47069865,0.0015170493,0.23792088,0.23126069
8,0.45610094,0.0017511051,0.22923723,0.22511265
9,0.453611,0.001883237,0.22712287,0.22460487
10,0.4537444,0.0018870321,0.22692072,0.22493668
11,0.45340747,0.001825377,0.22685036,0.22473176
12,0.45299926,0.0017459847,0.226842,0.2244113
13,0.4527645,0.001678033,0.22686633,0.22422013
14,0.45256242,0.0016283458,0.22682092,0.22411315
15,0.452321,0.0015907924,0.22670242,0.2240278
16,0.45204496,0.0015586524,0.22655204,0.22393426
17,0.45173806,0.001529622,0.22639365,0.22381477
18,0.4513967,0.0015037853,0.2262301,0.22366282
19,0.45101863,0.0014833863,0.22605446,0.22348075
20,0.450602,0.0014704035,0.22585967,0.22327194
21,0.4501451,0.0014660229,0.22564194,0.2230371
22,0.4496461,0.0014707652,0.22540037,0.22277491
23,0.44910398,0.0014845312,0.22513561,0.22248378
24,0.4485175,0.0015067046,0.22484782,0.22216293
25,0.44788533,0.0015359062,0.22453663,0.22181275
26,0.44720536,0.001569674,0.22420129,0.22143444
27,0.44647473,0.0016042918,0.22384088,0.22102956
28,0.44568905,0.0016350175,0.2234542,0.22059982
29,0.44484264,0.0016568126,0.22303927,0.2201465
30,0.44392863,0.0016653929,0.22259276,0.21967046
31,0.44293958,0.0016580669,0.22210953,0.21917191
32,0.4418674,0.0016340185,0.22158268,0.21865073
33,0.44070402,0.0015940446,0.2210035,0.21810648
34,0.43944088,0.0015400843,0.22036144,0.21753931
35,0.43806887,0.0014747495,0.21964419,0.21694991
36,0.43657845,0.0014009648,0.21883726,0.21634023
37,0.4349597,0.0013217181,0.21792419,0.21571377
38,0.43320283,0.0012398949,0.21688683,0.21507613
39,0.4313,0.0011582242,0.21570627,0.2144355
40,0.42924756,0.0010793508,0.21436496,0.21380326
41,0.4270506,0.0010060391,0.21285024,0.21319433
42,0.42472845,0.00094151264,0.2111595,0.21262741
43,0.42232078,0.0008897536,0.2093068,0.21212423
44,0.41989136,0.00085556705,0.20732829,0.21170747
45,0.4175252,0.00084403605,0.2052836,0.21139757
46,0.41531616,0.00085913844,0.2032491,0.2112079
47,0.41334534,0.00090167625,0.20130289,0.2111408
48,0.41165906,0.0009675184,0.19950584,0.2111857
49,0.4102571,0.0010475374,0.19788879,0.21132079
50,0.4091,0.0011299759,0.19645146,0.2115186
51,0.40812856,0.0012041375,0.19517231,0.21175209
52,0.4072854,0.0012632902,0.19402206,0.21200006
53,0.40652698,0.0013054272,0.19297284,0.21224877
54,0.4058259,0.001332162,0.19200239,0.2124914
55,0.40516654,0.0013469079,0.1910938,0.21272583
56,0.40454036,0.0013533585,0.19023445,0.21295258
57,0.40394264,0.0013546252,0.18941478,0.21317327
58,0.4033702,0.0013529595,0.18862768,0.21338955
59,0.40282044,0.001349808,0.18786778,0.21360293
60,0.40229148,0.0013460122,0.18713115,0.21381433
61,0.4017815,0.0013420088,0.18641491,0.21402459
62,0.4012889,0.0013379965,0.1857168,0.21423414
63,0.40081245,0.0013340557,0.18503506,0.21444336
64,0.4003508,0.0013302183,0.1843681,0.2146525
65,0.399903,0.0013265039,0.18371454,0.21486191
66,0.39946783,0.0013229405,0.18307307,0.21507183
67,0.39904445,0.0013195667,0.1824424,0.21528248
68,0.398632,0.0013164341,0.18182129,0.21549428
69,0.39822954,0.0013136,0.18120852,0.21570742
70,0.39783636,0.001311127,0.18060288,0.21592233
71,0.39745152,0.0013090773,0.1800031,0.21613929
72,0.39707422,0.001307518,0.17940803,0.2163587
73,0.39670372,0.0013065127,0.17881627,0.21658091
74,0.39633915,0.0013061309,0.17822662,0.21680638
75,0.39597964,0.0013064397,0.17763765,0.21703556
76,0.3956243,0.0013075117,0.17704788,0.21726891
77,0.39527223,0.0013094209,0.17645577,0.21750703
78,0.3949224,0.0013122456,0.17585966,0.21775047
79,0.39457372,0.0013160689,0.17525771,0.21799994
80,0.39422512,0.0013209822,0.17464796,0.21825619
81,0.3938754,0.0013270812,0.17402823,0.21852009
82,0.3935232,0.0013344724,0.17339608,0.2187926
83,0.39316702,0.0013432733,0.1727489,0.21907485
84,0.39280534,0.001353618,0.17208359,0.2193681
85,0.3924363,0.0013656527,0.17139688,0.21967375
86,0.39205799,0.0013795432,0.17068492,0.2199935
87,0.3916681,0.00139548,0.16994336,0.22032924
88,0.39126426,0.0014136811,0.16916735,0.22068322
89,0.3908435,0.0014343945,0.1683512,0.22105794
90,0.39040276,0.001457908,0.16748843,0.22145638
91,0.38993832,0.0014845466,0.1665717,0.22188208
92,0.38944608,0.0015146853,0.16559239,0.222339
93,0.38892135,0.0015487496,0.16454066,0.22283193
94,0.38835886,0.0015872221,0.16340528,0.22336635
95,0.38775262,0.0016306369,0.16217333,0.22394867
96,0.38709608,0.0016795729,0.16083023,0.22458625
97,0.38638216,0.0017346389,0.15935981,0.22528772
98,0.38560343,0.0017964278,0.15774438,0.22606263
99,0.38475266,0.0018654516,0.15596567,0.22692156
100,0.38382366,0.001942035,0.15400586,0.22787574
101,0.38281226,0.002026143,0.15185006,0.2289361
102,0.38171864,0.0021171614,0.14948954,0.23011191
103,0.38054898,0.0022136315,0.14692686,0.23140845
104,0.37931824,0.002312997,0.14418183,0.23282345
105,0.37805143,0.002411495,0.14129718,0.23434277
106,0.3767823,0.0025043841,0.13834171,0.23593621
107,0.3755481,0.0025866167,0.13540661,0.23755491
108,0.37437984,0.002654029,0.13259281,0.23913303
109,0.3732921,0.0027048811,0.12999064,0.24059656
110,0.372279,0.002741641,0.12765966,0.24187768
111,0.37132224,0.0027728523,0.1256189,0.2429305
112,0.37040907,0.0028139811,0.12385406,0.24374104
113,0.36954683,0.0028846678,0.12233628,0.24432583
114,0.3687621,0.0030011365,0.121039614,0.24472137
115,0.36808485,0.0031674213,0.11994715,0.24497028
116,0.36753017,0.0033719956,0.119047165,0.24511102
117,0.36709207,0.003592655,0.11832626,0.24517317
118,0.3667491,0.0038059386,0.117765985,0.24517712
119,0.3664748,0.0039948234,0.1173434,0.24513657
120,0.36624607,0.004151386,0.117033504,0.24506119
121,0.36604643,0.0042753345,0.11681205,0.24495904
122,0.36586553,0.0043709064,0.116657495,0.24483714
123,0.36569753,0.004444075,0.116551995,0.24470146
124,0.36553928,0.0045007276,0.116481744,0.24455681
125,0.36538896,0.0045457724,0.11643647,0.24440674
126,0.36524564,0.0045828824,0.11640884,0.24425395
127,0.36510843,0.004614585,0.11639364,0.24410024
128,0.36497685,0.0046425173,0.11638739,0.24394695
129,0.36485037,0.0046676807,0.116387665,0.24379504
130,0.36472857,0.004690648,0.11639285,0.24364504
131,0.36461097,0.004711721,0.116401866,0.2434974
132,0.36449727,0.0047310446,0.11641395,0.2433523
133,0.36438718,0.0047486755,0.11642853,0.24320999
134,0.36428028,0.004764621,0.11644523,0.24307041
135,0.36417627,0.00477887,0.116463736,0.24293368
136,0.364075,0.004791406,0.116483785,0.2427998
137,0.36397606,0.004802215,0.116505146,0.2426687
138,0.36387932,0.0048112837,0.11652764,0.24254036
139,0.3637844,0.0048186,0.116551116,0.24241471
140,0.36369115,0.00482416,0.11657538,0.24229164
141,0.3635994,0.004827962,0.11660036,0.24217105
142,0.3635088,0.00483,0.11662587,0.24205291
143,0.3634192,0.0048302766,0.116651855,0.24193707
144,0.3633304,0.004828795,0.11667816,0.24182343
145,0.3632422,0.004825554,0.11670478,0.24171188
146,0.36315435,0.0048205564,0.116731524,0.24160223
147,0.36306664,0.004813804,0.11675839,0.24149446
148,0.36297894,0.0048053004,0.11678529,0.24138837
149,0.362891,0.004795053,0.116812095,0.24128386
150,0.36280262,0.004783067,0.116838776,0.24118082
151,0.36271366,0.004769354,0.11686523,0.24107906
152,0.36262384,0.0047539272,0.11689137,0.24097852
153,0.362533,0.0047368035,0.11691711,0.24087906
154,0.3624409,0.004718008,0.116942346,0.24078056
155,0.36234742,0.0046975696,0.11696696,0.24068289
156,0.36225232,0.004675527,0.11699084,0.24058595
157,0.36215538,0.0046519255,0.11701387,0.2404896
158,0.3620565,0.00462682,0.11703589,0.2403938
159,0.36195543,0.0046002795,0.11705675,0.24029842
160,0.36185202,0.0045723794,0.117076315,0.2402033
161,0.36174607,0.004543209,0.11709438,0.24010849
162,0.36163744,0.004512869,0.1171108,0.24001376
163,0.36152598,0.0044814697,0.117125414,0.23991914
164,0.36141163,0.0044491403,0.11713801,0.23982446
165,0.36129415,0.004416014,0.11714842,0.23972967
166,0.36117345,0.0043822294,0.11715652,0.23963471
167,0.36104947,0.004347939,0.11716207,0.23953946
