,testing_Re,rel_er
0,15.0,0.014933884683487095
1,20.816326530612244,0.017062434009907174
2,26.632653061224488,0.014086897019986062
3,32.44897959183673,0.01028529242053838
4,38.265306122448976,0.007390555699490007
5,44.08163265306122,0.005789981339638389
6,49.89795918367348,0.0052872585789497375
7,55.714285714285715,0.00527135679705358
8,61.53061224489795,0.005271383959613745
9,67.34693877551021,0.005195687749448526
10,73.16326530612244,0.005065649034765244
11,78.9795918367347,0.004927900626573538
12,84.79591836734694,0.004828021230851602
13,90.61224489795919,0.004814851587294805
14,96.42857142857143,0.004915927143574453
15,102.24489795918367,0.00511788077864422
16,108.06122448979592,0.005390343196020108
17,113.87755102040815,0.005711356464162351
18,119.69387755102039,0.006063884029879463
19,125.51020408163266,0.006437925924056001
20,131.32653061224488,0.006825049656927427
21,137.14285714285714,0.007219056807685557
22,142.9591836734694,0.007613999713990484
23,148.77551020408163,0.008005841199702698
24,154.59183673469389,0.008391523518116648
25,160.40816326530611,0.00876902889960496
26,166.22448979591837,0.009137272869819642
27,172.0408163265306,0.00949569960111252
28,177.85714285714286,0.009843624372383435
29,183.6734693877551,0.010180965156232657
30,189.48979591836735,0.010507722197269382
31,195.30612244897958,0.010824041199099016
32,201.12244897959184,0.011129987581485975
33,206.93877551020407,0.011425860432188363
34,212.75510204081633,0.011711952951428186
35,218.5714285714286,0.01198851872101168
36,224.3877551020408,0.012255918693152987
37,230.20408163265304,0.012514451928450049
38,236.02040816326533,0.012764534096600765
39,241.83673469387756,0.013006431591241157
40,247.65306122448982,0.013240513414233716
41,253.46938775510205,0.013467063116366662
42,259.2857142857143,0.013686269984772601
43,265.1020408163265,0.013898541983145291
44,270.9183673469388,0.01410410580515796
45,276.734693877551,0.014303208693437621
46,282.55102040816325,0.014496172192613021
47,288.3673469387755,0.01468319141428719
48,294.18367346938777,0.014864539785544873
49,300.0,0.015040402236226932
