,loss,residual_loss,bound_loss,init_loss
0,1.3637909,0.012179526,0.71838963,0.6332216
1,1.3030397,0.012062236,0.702342,0.60468304
2,1.246775,0.011541028,0.6869267,0.5791376
3,1.1948419,0.010609871,0.67216927,0.5563351
4,1.1469218,0.009427123,0.65807563,0.53579366
5,1.102623,0.008192294,0.64463353,0.51700824
6,1.0615448,0.007037905,0.6318164,0.4995932
7,1.0233123,0.006012475,0.6195892,0.48330092
8,0.98759097,0.0051182555,0.60791296,0.46796936
9,0.9540864,0.004345034,0.5967485,0.453474
10,0.9225415,0.0036834502,0.58605784,0.4397069
11,0.89273006,0.003125703,0.5758056,0.4265731
12,0.86445445,0.0026636205,0.565959,0.41399136
13,0.83754176,0.0022878153,0.5564875,0.40189487
14,0.81184304,0.0019882089,0.5473634,0.3902288
15,0.7872309,0.0017548524,0.5385611,0.3789495
16,0.7636004,0.001578367,0.5300574,0.36802325
17,0.7408679,0.001450103,0.5218316,0.35742575
18,0.71897095,0.0013621452,0.513865,0.34714222
19,0.69786835,0.0013073336,0.50614154,0.337167
20,0.6775385,0.0012792834,0.498647,0.32750314
21,0.6579787,0.0012723999,0.4913696,0.31816167
22,0.63920295,0.001281861,0.48429963,0.30916038
23,0.621239,0.0013035799,0.47742933,0.30052286
24,0.6041256,0.0013341561,0.47075278,0.29227668
25,0.5879086,0.001370802,0.4642656,0.28445163
26,0.57263696,0.0014112738,0.45796496,0.27707818
27,0.5583588,0.0014537981,0.45184907,0.27018493
28,0.54511696,0.0014969811,0.44591713,0.2637971
29,0.532945,0.0015397439,0.44016892,0.25793454
30,0.5218643,0.0015812507,0.43460447,0.25261
31,0.51188105,0.0016208505,0.4292241,0.24782816
32,0.5029844,0.0016580304,0.42402768,0.2435847
33,0.49514627,0.0016923858,0.4190147,0.23986618
34,0.48832107,0.0017235748,0.41418418,0.23665027
35,0.48244825,0.0017513385,0.40953436,0.23390666
36,0.4774542,0.0017754821,0.4050626,0.23159845
37,0.47325587,0.0017958662,0.4007656,0.2296839
38,0.46976462,0.0018124022,0.39663917,0.22811835
39,0.4668897,0.0018250942,0.39267838,0.22685608
40,0.46454245,0.0018339952,0.38887784,0.2258523
41,0.46263844,0.0018392263,0.3852316,0.22506456
42,0.46110064,0.0018409714,0.38173333,0.2244539
43,0.45986032,0.0018394574,0.3783765,0.22398591
44,0.4588585,0.0018349607,0.37515464,0.22363064
45,0.45804507,0.0018277774,0.37206122,0.22336312
46,0.45737895,0.0018182158,0.3690897,0.22316274
47,0.45682722,0.0018066015,0.3662338,0.22301313
48,0.45636377,0.0017932432,0.36348763,0.22290125
49,0.45596853,0.0017784329,0.36084536,0.22281727
50,0.45562595,0.0017624529,0.35830152,0.22275364
51,0.4553245,0.0017455493,0.355851,0.2227048
52,0.4550554,0.0017279463,0.35348892,0.22266671
53,0.4548123,0.0017098447,0.35121074,0.22263637
54,0.45459023,0.0016914159,0.34901214,0.22261167
55,0.4543856,0.0016727997,0.3468891,0.22259113
56,0.45419574,0.0016541161,0.3448379,0.22257367
57,0.45401844,0.0016354691,0.34285492,0.22255847
58,0.45385218,0.0016169356,0.34093684,0.22254507
59,0.45369554,0.0015985823,0.33908063,0.22253303
60,0.45354742,0.0015804565,0.3372833,0.22252205
61,0.4534069,0.0015625951,0.33554214,0.22251192
62,0.4532732,0.0015450276,0.3338546,0.22250247
63,0.4531455,0.0015277776,0.33221817,0.22249356
64,0.4530232,0.001510852,0.33063063,0.22248504
65,0.45290574,0.0014942547,0.3290898,0.22247684
66,0.45279264,0.0014779958,0.3275936,0.22246882
67,0.4526832,0.0014620753,0.32614017,0.22246099
68,0.4525772,0.0014464826,0.32472765,0.22245316
69,0.45247403,0.0014312179,0.32335436,0.22244534
70,0.45237342,0.0014162755,0.32201865,0.22243746
71,0.45227495,0.0014016435,0.320719,0.22242947
72,0.4521783,0.0013873123,0.31945395,0.22242129
73,0.45208305,0.0013732808,0.31822208,0.2224129
74,0.45198917,0.0013595338,0.31702214,0.22240427
75,0.4518961,0.0013460636,0.31585285,0.22239533
76,0.45180383,0.0013328613,0.31471303,0.22238603
77,0.45171198,0.0013199188,0.3136015,0.22237639
78,0.4516204,0.001307225,0.31251726,0.22236633
79,0.45152885,0.0012947716,0.31145927,0.22235589
80,0.45143718,0.0012825541,0.31042656,0.22234502
81,0.45134535,0.0012705607,0.30941823,0.2223337
82,0.45125303,0.0012587844,0.30843332,0.2223219
83,0.4511601,0.0012472207,0.30747107,0.22230962
84,0.4510665,0.0012358584,0.30653065,0.22229686
85,0.45097208,0.0012246942,0.30561128,0.22228357
86,0.4508767,0.0012137227,0.3047122,0.2222698
87,0.4507803,0.0012029321,0.30383277,0.22225547
88,0.45068282,0.0011923225,0.30297232,0.22224069
89,0.45058408,0.001181889,0.30213013,0.22222534
90,0.4504841,0.0011716207,0.30130568,0.22220945
91,0.45038265,0.0011615148,0.30049825,0.22219303
92,0.45027995,0.0011515712,0.29970747,0.2221761
93,0.45017558,0.0011417806,0.29893267,0.22215863
94,0.45006967,0.0011321392,0.29817334,0.22214058
95,0.4499622,0.0011226453,0.297429,0.22212204
96,0.44985303,0.0011132946,0.29669914,0.22210295
97,0.44974208,0.0011040808,0.29598334,0.22208333
98,0.4496293,0.0010950041,0.2952812,0.22206315
99,0.4495148,0.0010860597,0.29459226,0.22204249
100,0.44939837,0.0010772431,0.2939161,0.22202125
101,0.44928008,0.0010685541,0.29325238,0.22199948
102,0.4491598,0.0010599883,0.29260063,0.2219772
103,0.44903746,0.0010515418,0.29196057,0.22195439
104,0.44891316,0.0010432147,0.29133174,0.22193107
105,0.44878674,0.0010350037,0.2907139,0.22190718
106,0.44865817,0.0010269049,0.29010677,0.22188279
107,0.44852751,0.0010189185,0.28950998,0.2218579
108,0.4483946,0.0010110417,0.28892323,0.22183247
109,0.4482595,0.0010032728,0.2883462,0.2218065
110,0.44812217,0.0009956084,0.28777862,0.22178002
111,0.4479825,0.0009880478,0.28722024,0.22175303
112,0.44784045,0.0009805906,0.2866708,0.22172551
113,0.44769606,0.00097323273,0.28613004,0.22169748
114,0.44754928,0.0009659741,0.28559777,0.22166893
115,0.44740003,0.00095881196,0.28507364,0.22163987
116,0.44724837,0.0009517474,0.28455755,0.22161028
117,0.4470942,0.0009447758,0.28404918,0.22158022
118,0.44693738,0.0009378985,0.28354838,0.22154963
119,0.44677806,0.0009311158,0.28305486,0.22151852
120,0.44661608,0.00092442066,0.28256848,0.22148688
121,0.4464515,0.0009178168,0.28208908,0.22145474
122,0.44628415,0.00091130164,0.28161642,0.22142208
123,0.44611412,0.00090487424,0.28115034,0.22138894
124,0.4459414,0.0008985343,0.28069064,0.22135529
125,0.4457658,0.00089227885,0.2802372,0.2213211
126,0.4455873,0.0008861087,0.27978978,0.22128645
127,0.4454061,0.00088002253,0.27934825,0.22125125
128,0.44522196,0.0008740185,0.27891248,0.22121556
129,0.4450348,0.0008680963,0.27848226,0.2211794
130,0.44484472,0.00086225494,0.2780575,0.22114272
131,0.4446516,0.00085649313,0.27763805,0.22110555
132,0.44445547,0.00085081084,0.27722374,0.22106788
133,0.44425622,0.0008452058,0.27681446,0.22102973
134,0.4440539,0.0008396773,0.27641007,0.22099109
135,0.44384843,0.0008342263,0.27601045,0.22095199
136,0.44363967,0.0008288502,0.27561548,0.22091237
137,0.44342774,0.0008235447,0.27522498,0.22087228
138,0.4432126,0.0008183154,0.2748389,0.2208317
139,0.44299412,0.00081315695,0.27445713,0.22079071
140,0.4427723,0.00080806797,0.2740795,0.22074921
141,0.44254708,0.0008030487,0.27370596,0.22070725
142,0.44231853,0.0007980981,0.27333638,0.22066489
143,0.44208652,0.00079321314,0.27297068,0.22062202
144,0.44185096,0.00078839436,0.27260867,0.22057876
145,0.44161195,0.00078364124,0.27225035,0.22053504
146,0.44136944,0.0007789488,0.27189562,0.2204909
147,0.4411233,0.00077431835,0.27154434,0.22044635
148,0.44087353,0.0007697484,0.27119642,0.2204014
149,0.44062012,0.0007652358,0.2708518,0.22035606
150,0.4403631,0.00076078065,0.27051035,0.22031033
151,0.44010234,0.0007563811,0.270172,0.2202642
152,0.43983787,0.000752035,0.26983666,0.2202177
153,0.43956965,0.0007477406,0.26950428,0.2201709
154,0.43929762,0.0007434967,0.26917475,0.22012372
155,0.43902177,0.0007393003,0.26884803,0.22007623
156,0.4387421,0.00073515147,0.26852402,0.22002845
157,0.43845862,0.000731048,0.26820266,0.21998033
158,0.4381712,0.00072698493,0.26788387,0.21993196
159,0.4378799,0.0007229656,0.26756752,0.21988332
160,0.4375847,0.0007189845,0.26725364,0.21983445
161,0.4372855,0.0007150412,0.26694208,0.2197853
162,0.4369824,0.0007111344,0.26663285,0.21973601
163,0.4366753,0.0007072619,0.26632583,0.21968648
164,0.43636426,0.00070342136,0.26602098,0.2196368
165,0.43604922,0.0006996119,0.26571822,0.219587
166,0.43573016,0.0006958317,0.2654175,0.21953705
167,0.4354071,0.00069207937,0.26511872,0.21948698
168,0.4350801,0.00068835344,0.2648219,0.21943685
169,0.43474907,0.0006846523,0.26452696,0.2193867
170,0.434414,0.00068097457,0.2642338,0.21933654
171,0.43407497,0.00067732047,0.2639424,0.21928637
172,0.43373197,0.00067368743,0.26365268,0.21923625
173,0.43338504,0.0006700748,0.26336458,0.21918614
174,0.43303412,0.0006664832,0.2630781,0.2191362
