,loss,bound_loss,residual_loss,u_loss,v_loss
40206,0.15291817,0.13483045,0.018087724,0.13469502,0.00013542245
40207,0.15291663,0.1348293,0.018087322,0.13469388,0.0001354244
40208,0.1529148,0.13482769,0.01808712,0.13469227,0.000135423
40209,0.15291296,0.13482651,0.01808645,0.1346911,0.00013542018
40210,0.15291134,0.134825,0.018086333,0.1346896,0.00013541724
40211,0.15290944,0.1348235,0.018085938,0.1346881,0.00013542148
40212,0.15290797,0.13482234,0.018085623,0.13468693,0.00013542078
40213,0.15290612,0.13482073,0.01808539,0.13468531,0.00013541945
40214,0.15290429,0.13481946,0.018084835,0.13468404,0.00013541896
40215,0.15290275,0.134818,0.01808475,0.13468258,0.00013542136
40216,0.15290084,0.13481686,0.018083995,0.13468143,0.00013541643
40217,0.15289912,0.13481519,0.018083928,0.13467976,0.0001354152
40218,0.1528974,0.1348141,0.018083304,0.13467869,0.0001354143
40219,0.15289584,0.13481267,0.018083163,0.13467726,0.00013541721
40220,0.15289363,0.13481125,0.018082367,0.13467586,0.0001354112
40221,0.15289226,0.1348098,0.018082479,0.13467439,0.00013541523
40222,0.15289053,0.13480878,0.018081756,0.13467337,0.00013541248
40223,0.15288855,0.1348069,0.018081648,0.13467148,0.0001354145
40224,0.15288715,0.13480599,0.01808117,0.13467057,0.00013540787
40225,0.15288517,0.13480416,0.018081006,0.13466875,0.0001354142
40226,0.15288363,0.13480325,0.018080395,0.13466784,0.00013541158
40227,0.15288176,0.13480161,0.018080141,0.1346662,0.00013540903
40228,0.1528801,0.13480021,0.018079897,0.1346648,0.00013541205
40229,0.1528785,0.13479893,0.018079553,0.13466354,0.00013540624
40230,0.15287623,0.13479736,0.018078867,0.13466196,0.00013540688
40231,0.15287474,0.13479593,0.018078797,0.13466053,0.00013540375
40232,0.15287298,0.13479471,0.01807825,0.13465932,0.00013540154
40233,0.15287146,0.13479348,0.018077984,0.13465807,0.00013540188
40234,0.15286955,0.13479196,0.018077608,0.13465656,0.00013540001
40235,0.1528677,0.13479042,0.018077264,0.13465501,0.00013539635
40236,0.15286595,0.13478908,0.018076856,0.13465369,0.00013539442
40237,0.15286417,0.1347879,0.01807626,0.13465253,0.00013538997
40238,0.15286238,0.13478625,0.01807613,0.13465086,0.00013539076
40239,0.15286037,0.13478525,0.018075133,0.13464986,0.00013538604
40240,0.15285876,0.13478374,0.018075015,0.13464837,0.00013537836
40241,0.1528566,0.13478215,0.018074451,0.13464677,0.00013537775
40242,0.15285501,0.13478082,0.018074194,0.13464543,0.00013538239
40243,0.15285344,0.13477954,0.018073898,0.13464415,0.00013537877
40244,0.15285163,0.13477807,0.018073559,0.13464269,0.0001353778
40245,0.1528497,0.13477646,0.018073242,0.13464108,0.00013538536
40246,0.15284832,0.13477533,0.018072987,0.13463995,0.00013538163
40247,0.15284666,0.13477395,0.01807271,0.13463858,0.00013538275
40248,0.15284471,0.13477238,0.018072344,0.134637,0.00013538105
40249,0.15284295,0.13477121,0.018071745,0.13463584,0.00013537654
40250,0.15284123,0.13476963,0.01807158,0.13463424,0.00013537721
40251,0.15283985,0.13476844,0.018071407,0.13463306,0.0001353751
40252,0.15283778,0.1347671,0.01807068,0.13463172,0.00013537734
40253,0.1528362,0.13476554,0.01807067,0.13463016,0.0001353783
40254,0.15283449,0.13476439,0.018070117,0.134629,0.0001353771
40255,0.15283291,0.134763,0.018069906,0.13462761,0.00013537856
40256,0.15283093,0.13476148,0.018069452,0.1346261,0.0001353758
40257,0.15282896,0.13475998,0.018069005,0.1346246,0.00013537642
40258,0.15282714,0.13475856,0.018068576,0.1346232,0.00013537092
40259,0.1528256,0.13475728,0.01806831,0.13462189,0.00013537475
40260,0.15282387,0.13475592,0.01806794,0.13462056,0.00013537102
40261,0.1528222,0.13475455,0.01806764,0.13461918,0.00013537107
40262,0.15282081,0.1347534,0.018067412,0.13461804,0.00013537006
40263,0.15281892,0.13475186,0.01806705,0.1346165,0.00013536809
40264,0.15281704,0.13475052,0.018066522,0.13461514,0.00013537263
40265,0.15281539,0.13474916,0.018066231,0.1346138,0.00013536448
40266,0.15281342,0.13474773,0.018065685,0.13461237,0.00013536564
40267,0.15281174,0.13474633,0.018065417,0.13461097,0.00013535845
40268,0.15280989,0.1347451,0.01806477,0.13460974,0.00013536165
40269,0.15280804,0.13474329,0.018064748,0.13460793,0.00013536005
40270,0.15280637,0.13474213,0.018064236,0.13460678,0.00013536164
40271,0.15280502,0.13474087,0.018064149,0.13460553,0.00013536133
40272,0.15280268,0.13473916,0.0180635,0.1346038,0.00013536299
40273,0.15280136,0.13473809,0.018063258,0.13460273,0.0001353594
40274,0.15279952,0.13473661,0.01806291,0.13460125,0.00013535914
40275,0.1527977,0.1347352,0.018062523,0.13459983,0.00013535868
40276,0.15279613,0.13473396,0.01806217,0.13459861,0.00013535419
40277,0.15279408,0.13473234,0.018061737,0.13459699,0.00013535525
40278,0.15279266,0.13473113,0.01806152,0.13459578,0.00013534853
40279,0.15279093,0.13472974,0.018061204,0.1345944,0.00013534965
