,loss,bound_loss,init_loss
4781,0.00039953235,0.0001361505,0.0002633819
4782,0.0004030488,0.00013725895,0.00026578983
4783,0.00039733076,0.0001354623,0.00026186844
4784,0.00039450277,0.0001344557,0.00026004703
4785,0.00040447467,0.00013757286,0.00026690183
4786,0.00044214717,0.00014963678,0.00029251038
4787,0.00046994374,0.00015798387,0.00031195986
4788,0.00040268977,0.00013667259,0.0002660172
4789,0.0004146282,0.00014100254,0.00027362563
4790,0.000399876,0.00013633865,0.00026353737
4791,0.0004027609,0.00013692146,0.00026583942
4792,0.00039793036,0.00013534531,0.0002625851
4793,0.00039449302,0.00013430021,0.0002601928
4794,0.00039421418,0.00013439952,0.00025981467
4795,0.00039294173,0.00013395464,0.00025898707
4796,0.0003976121,0.00013537258,0.0002622395
4797,0.00040182716,0.00013671715,0.00026511002
4798,0.00040199727,0.00013678508,0.00026521218
4799,0.00040028032,0.0001362462,0.0002640341
4800,0.0003988859,0.0001358074,0.00026307846
4801,0.0003990437,0.00013585738,0.00026318638
4802,0.00040202917,0.00013677472,0.00026525444
4803,0.000410566,0.00013928192,0.00027128402
4804,0.00042642417,0.00014356615,0.00028285803
4805,0.0004283462,0.00014336631,0.0002849799
4806,0.00039753612,0.00013479272,0.00026274342
4807,0.00039845554,0.00013546301,0.00026299254
4808,0.00040638496,0.00013789606,0.00026848892
4809,0.0003961325,0.0001349822,0.00026115027
4810,0.00039533377,0.00013430174,0.00026103205
4811,0.00040026975,0.00013606598,0.00026420376
4812,0.00041839003,0.0001425739,0.00027581616
4813,0.00043538344,0.00014807032,0.00028731313
4814,0.00041318894,0.0001396133,0.00027357563
4815,0.0003924742,0.00013350275,0.00025897144
4816,0.00040096845,0.00013626771,0.0002647007
4817,0.00040003893,0.00013622912,0.0002638098
4818,0.0003923874,0.0001338354,0.000258552
4819,0.000395324,0.00013460334,0.00026072064
4820,0.0004103361,0.00013950083,0.00027083527
4821,0.00042511674,0.0001438494,0.0002812673
4822,0.00041474486,0.00014029615,0.0002744487
4823,0.000391903,0.00013339514,0.0002585079
4824,0.0003947781,0.00013443876,0.00026033932
4825,0.00040023754,0.00013634341,0.00026389415
