,loss,residual_loss,bound_loss,init_loss
0,1.0759101,1.5756119e-05,0.54517835,0.53071594
1,1.0747683,1.6860284e-05,0.54460394,0.53014743
2,1.0736096,1.8050914e-05,0.54402035,0.5295712
3,1.0724213,1.9293993e-05,0.5434213,0.5289807
4,1.0711917,2.0558338e-05,0.542801,0.5283701
5,1.0699096,2.1827498e-05,0.5421539,0.5277339
6,1.0685638,2.3097013e-05,0.5414744,0.52706635
7,1.0671436,2.4371879e-05,0.54075694,0.5263622
8,1.0656377,2.5664189e-05,0.53999615,0.5256159
9,1.0640346,2.6988413e-05,0.5391861,0.5248214
10,1.0623219,2.835727e-05,0.53832066,0.52397287
11,1.0604866,2.9779872e-05,0.53739315,0.52306354
12,1.0585144,3.12612e-05,0.5363967,0.5220865
13,1.0563906,3.2801872e-05,0.5353237,0.52103436
14,1.0540994,3.4398552e-05,0.53416616,0.519899
15,1.051624,3.604506e-05,0.5329157,0.5186722
16,1.0489457,3.7733804e-05,0.531563,0.51734483
17,1.0460452,3.9456914e-05,0.53009844,0.5159071
18,1.0429019,4.1206433e-05,0.5285117,0.5143489
19,1.0394939,4.2973566e-05,0.52679175,0.51265925
20,1.0357982,4.4747176e-05,0.5249269,0.51082635
21,1.0317897,4.6512683e-05,0.5229048,0.5088383
22,1.027443,4.8251048e-05,0.52071273,0.50668204
23,1.0227306,4.9938895e-05,0.5183368,0.5043439
24,1.0176243,5.1548857e-05,0.5157629,0.5018098
25,1.0120938,5.305073e-05,0.5129761,0.49906474
26,1.0061079,5.441265e-05,0.50996053,0.49609298
27,0.9996335,5.5602228e-05,0.50669986,0.49287796
28,0.99263656,5.6587363e-05,0.5031771,0.48940283
29,0.9850818,5.7337213e-05,0.49937463,0.48564976
30,0.9769338,5.782445e-05,0.49527487,0.48160115
31,0.9681567,5.80294e-05,0.49085984,0.4772388
32,0.95871514,5.7944795e-05,0.48611197,0.47254524
33,0.9485753,5.7579397e-05,0.48101455,0.46750316
34,0.9377055,5.6959856e-05,0.4755517,0.46209684
35,0.9260772,5.6130382e-05,0.46970934,0.4563116
36,0.9136655,5.515069e-05,0.46347523,0.45013508
37,0.9004515,5.409341e-05,0.45683998,0.44355735
38,0.886422,5.3041167e-05,0.44979715,0.43657184
39,0.8715724,5.208432e-05,0.4423446,0.4291757
40,0.8559068,5.1318733e-05,0.43448448,0.4213709
41,0.83944035,5.0844283e-05,0.42622477,0.41316476
42,0.82220095,5.0763232e-05,0.41757935,0.40457082
43,0.8042306,5.1179097e-05,0.4085694,0.39560997
44,0.7855872,5.219553e-05,0.39922422,0.38631082
45,0.76634634,5.3915872e-05,0.3895815,0.37671095
46,0.7466021,5.64423e-05,0.37968844,0.36685723
47,0.726468,5.987527e-05,0.36960196,0.35680622
48,0.70607775,6.4311025e-05,0.35938865,0.34662485
49,0.68558407,6.983862e-05,0.3491248,0.33638948
50,0.6651579,7.653411e-05,0.33889556,0.32618576
51,0.6449853,8.4452695e-05,0.32879367,0.3161072
52,0.62526363,9.361839e-05,0.31891719,0.30625284
53,0.6061958,0.000104012164,0.30936685,0.29672495
54,0.5879834,0.00011555918,0.30024284,0.287625
