,loss,residual_loss,bound_loss,init_loss
0,1.4815989,0.012316786,0.77832854,0.69095343
1,1.4196931,0.012491589,0.7619971,0.6615359
2,1.3622665,0.012227545,0.74627715,0.6352016
3,1.3091447,0.011435432,0.731194,0.6117649
4,1.2600143,0.0102778785,0.71675926,0.5907163
5,1.2145226,0.008996507,0.7029682,0.5715136
6,1.1723077,0.0077684866,0.68980134,0.553738
7,1.133014,0.0066733696,0.6772295,0.5371134
8,1.0963072,0.0057195714,0.6652171,0.52146983
9,1.0618802,0.004888459,0.6537258,0.5066874
10,1.0294544,0.0041637,0.64271754,0.49265623
11,0.9987745,0.0035374523,0.6321551,0.4792676
12,0.96960974,0.0030054657,0.62200356,0.4664194
13,0.9417502,0.0025624752,0.61222947,0.45402145
14,0.915009,0.0022009723,0.6028015,0.4419976
15,0.8892206,0.0019121913,0.5936905,0.4302835
16,0.8642416,0.0016872452,0.58486927,0.41882616
17,0.8399509,0.0015176779,0.57631266,0.40758243
18,0.81624985,0.0013955648,0.5679981,0.39651948
19,0.7930624,0.0013135008,0.5599049,0.38561475
20,0.77033556,0.0012646683,0.55201495,0.37485608
21,0.74803925,0.0012429198,0.5443122,0.36424163
22,0.7261665,0.0012428302,0.53678316,0.35377938
23,0.7047323,0.0012597053,0.5294166,0.34348732
24,0.68377274,0.0012895575,0.52220356,0.3333924
25,0.66334283,0.0013290707,0.5151374,0.3235298
26,0.6435147,0.0013755516,0.50821364,0.3139418
27,0.6243733,0.0014268613,0.5014299,0.30467612
28,0.6060132,0.0014813325,0.4947857,0.29578394
29,0.58853304,0.0015376877,0.48828205,0.28731775
30,0.5720314,0.0015949402,0.48192164,0.27932888
31,0.5565997,0.0016523174,0.47570792,0.2718647
32,0.5423176,0.0017091681,0.46964523,0.26496607
33,0.5292481,0.0017649351,0.46373853,0.25866494
34,0.51743215,0.0018190851,0.45799264,0.2529822
35,0.5068866,0.0018710836,0.45241195,0.24792619
36,0.49760133,0.0019204065,0.44700056,0.24349204
37,0.48954064,0.0019665344,0.4417614,0.23966165
38,0.48264384,0.0020089757,0.4366965,0.2364047
39,0.47682938,0.002047284,0.43180665,0.23368028
40,0.47199908,0.002081078,0.4270913,0.23143923
41,0.46804395,0.0021100775,0.42254874,0.22962716
42,0.46485013,0.0021341115,0.41817623,0.22818696
43,0.4623038,0.0021531195,0.41396973,0.22706199
44,0.46029654,0.0021671683,0.40992445,0.22619823
45,0.4587288,0.002176426,0.4060349,0.225546
46,0.45751232,0.002181157,0.40229523,0.22506157
47,0.45657128,0.0021817011,0.39869916,0.22470717
48,0.45584273,0.0021784506,0.39524022,0.22445183
49,0.45527524,0.0021718298,0.3919121,0.22427018
50,0.4548285,0.0021622733,0.38870844,0.22414248
51,0.45447126,0.0021502075,0.385623,0.2240535
52,0.45417982,0.0021360444,0.38265,0.22399184
53,0.45393658,0.002120162,0.3797836,0.22394915
54,0.45372862,0.0021029064,0.3770185,0.22391939
55,0.45354667,0.0020845835,0.37434968,0.22389826
56,0.45338392,0.002065456,0.37177223,0.22388282
57,0.4532358,0.002045753,0.36928165,0.22387108
58,0.45309862,0.002025671,0.36687365,0.22386166
59,0.45297018,0.002005368,0.36454427,0.22385359
