,loss,residual_loss,bound_loss,init_loss
0,1.2109251,0.012775898,0.63840836,0.55974084
1,0.97441804,0.008381931,0.57371724,0.4570101
2,0.80906695,0.0027727408,0.52173394,0.38852686
3,0.6926105,0.0015259361,0.47999063,0.336324
4,0.6029543,0.0017559776,0.44547826,0.2937699
5,0.53121924,0.0022738914,0.41624883,0.25884348
6,0.48322663,0.002520717,0.39179963,0.23560166
7,0.46255383,0.002757529,0.37206835,0.22584727
8,0.4583552,0.0028210294,0.35640696,0.22441812
9,0.45721406,0.0027050744,0.34376281,0.22454342
10,0.4556353,0.0024932392,0.33331534,0.2243017
11,0.45453882,0.0022910205,0.32455105,0.22410432
12,0.45393187,0.0021305743,0.31710607,0.2240357
13,0.45347828,0.0020122877,0.31070313,0.22400184
14,0.45307794,0.001916976,0.3051347,0.22398427
15,0.45271355,0.0018307961,0.3002458,0.22397092
16,0.45235643,0.0017485551,0.29591757,0.22394177
17,0.45198435,0.0016705903,0.2920567,0.22389181
18,0.45158443,0.0015988145,0.28858843,0.22382598
19,0.4511463,0.0015336943,0.28545228,0.22374704
20,0.45066229,0.0014745101,0.28259903,0.22365423
21,0.45012712,0.0014202974,0.27998823,0.22354618
22,0.44953686,0.001370484,0.27758628,0.2234226
23,0.44888765,0.0013249291,0.27536514,0.22328389
24,0.44817615,0.0012836293,0.273301,0.22313038
25,0.44739944,0.0012465514,0.27137366,0.22296233
26,0.4465548,0.0012136076,0.26956582,0.2227802
27,0.44564018,0.0011846519,0.2678624,0.22258468
28,0.44465375,0.0011594382,0.26625052,0.22237666
29,0.44359416,0.0011375623,0.26471883,0.22215743
30,0.44246036,0.0011184112,0.26325738,0.22192845
31,0.44125158,0.0011011331,0.26185745,0.22169165
32,0.43996733,0.0010846397,0.26051125,0.22144909
33,0.4386074,0.0010676854,0.259212,0.22120297
34,0.4371718,0.0010490303,0.25795358,0.22095565
35,0.43566102,0.0010276396,0.25673053,0.22070973
36,0.4340763,0.0010027981,0.25553796,0.2204679
37,0.4324194,0.0009741407,0.2543715,0.2202332
38,0.43069297,0.0009416862,0.25322714,0.22000888
39,0.42890018,0.0009059363,0.25210133,0.21979842
40,0.42704487,0.0008680178,0.25099087,0.21960552
41,0.42513156,0.00082979706,0.2498927,0.21943411
42,0.4231654,0.0007938848,0.2488041,0.2192885
43,0.4211524,0.0007635109,0.24772254,0.21917331
44,0.41909924,0.0007422678,0.24664566,0.21909384
45,0.41701365,0.0007337724,0.24557129,0.2190561
46,0.41490477,0.000741304,0.24449737,0.2190667
47,0.41278338,0.0007674796,0.24342205,0.21913294
48,0.41066298,0.0008140152,0.24234378,0.21926232
49,0.40856028,0.0008815794,0.24126121,0.21946225
50,0.406496,0.0009697443,0.24017347,0.21973936
51,0.404495,0.0010769817,0.23908012,0.2200985
52,0.4025856,0.0012006864,0.23798133,0.22054176
53,0.40079746,0.0013372306,0.23687781,0.2210675
54,0.39915878,0.001482092,0.23577105,0.22166952
55,0.39769265,0.0016301258,0.23466308,0.22233658
56,0.39641377,0.0017760139,0.23355643,0.2230527
57,0.39532632,0.0019148253,0.23245402,0.22379804
58,0.39442354,0.0020425804,0.23135875,0.22455081
59,0.39368945,0.002156629,0.23027349,0.22528926
60,0.39310154,0.0022557555,0.22920099,0.22599359
61,0.39263445,0.0023400015,0.22814368,0.22664805
62,0.3922628,0.0024103052,0.2271035,0.22724178
63,0.3919637,0.002468122,0.22608204,0.22776899
64,0.39171782,0.002515099,0.22508039,0.2282285
65,0.39150962,0.0025528627,0.22409941,0.2286228
66,0.39132756,0.0025829081,0.22313954,0.22895694
67,0.39116317,0.002606565,0.22220097,0.2292374
68,0.3910105,0.0026249883,0.22128375,0.22947145
69,0.39086562,0.0026391696,0.2203877,0.22966607
70,0.39072567,0.0026499534,0.2195125,0.22982797
71,0.390589,0.0026580389,0.21865773,0.22996314
72,0.39045444,0.0026640096,0.21782285,0.23007683
73,0.3903212,0.0026683353,0.21700738,0.2301734
74,0.3901888,0.0026713957,0.21621077,0.23025659
75,0.3900569,0.0026734958,0.21543239,0.23032942
76,0.38992518,0.0026748765,0.21467164,0.23039427
77,0.38979346,0.0026757256,0.21392797,0.23045316
78,0.38966146,0.0026761882,0.21320076,0.23050758
79,0.38952905,0.00267638,0.21248946,0.23055872
80,0.38939598,0.002676393,0.21179342,0.23060755
81,0.389262,0.0026762963,0.21111216,0.23065476
82,0.38912693,0.0026761494,0.21044514,0.23070088
83,0.38899046,0.002676002,0.20979184,0.23074634
84,0.38885236,0.0026759044,0.20915176,0.23079152
85,0.3887124,0.0026759068,0.20852444,0.23083656
86,0.38857025,0.002676069,0.20790935,0.23088177
87,0.38842565,0.002676464,0.20730612,0.23092715
